State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES08_DEM vote %	PRES08_REP vote %	PRES08_DEM votes	PRES08_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
California	13	1,577,221	2,1,	D+4	44964	101127	1.0	0.0	1.0	0.0	1.0	525,740	0.3374109430178268	2.9010110271031963E12	8451010.556072047	2591205.5366913453	0.5370519005137148	0.4629480994862853	325,860	280,897	0.599268934	0.057517201	0.188960175	0.113489584	0.005650150	0.006966987	0.026124075	0.002022893	704,467	67,614	222,131	133,412	6,642	8,190	30,710	2,378
California	14	1,568,744	1,2,	R+3	25216	70818	1.0	0.0	1.0	0.0	1.0	522,915	0.40791813575533237	4.635320002552376E12	1.0148571872794423E7	2401551.247650711	0.470329349632147	0.529670650367853	199,842	225,056	0.418507001	0.038277617	0.447379699	0.068429647	0.001100226	0.009502696	0.015258777	0.001544337	457,981	41,888	489,577	74,884	1,204	10,399	16,698	1,690
California	15	1,576,768	2,1,	D+4	52600	107603	1.0	1.0	0.0	0.0	1.0	525,589	0.15543900727238882	2.2902086632994326E12	1.0286677163658835E7	4427099.90736544	0.5407351187249269	0.4592648812750732	349,104	296,506	0.631124763	0.053470120	0.175569709	0.096169257	0.005345339	0.008301588	0.028207329	0.001811894	754,468	63,920	209,882	114,964	6,390	9,924	33,720	2,166
California	16	1,540,376	2,1,	D+3	28244	94043	1.0	0.0	1.0	0.0	1.0	513,459	0.6067502698912766	8.856733451829372E10	1354368.143944937	0.0	0.5250262296011683	0.4749737703988317	296,245	268,003	0.312051595	0.035029962	0.428618182	0.200322688	0.005049396	0.002411783	0.014983226	0.001533167	353,742	39,710	485,882	227,086	5,724	2,734	16,985	1,738
Colorado	1	2,514,601	3,2,	D+10	232354	118444	3.0	0.0	0.0	1.0	1.0	502,920	0.6413564974500289	4.066259059444133E12	5439903.446180264	4648014.246426443	0.6019120245795547	0.39808797542044533	712,904	471,495	0.715538764	0.041700877	0.191107434	0.030585431	0.000909641	0.005108669	0.013758385	0.001290799	1,364,780	79,538	364,508	58,337	1,735	9,744	26,242	2,462
Colorado	2	2,514,595	2,3,	R+1	26406	117463	2.0	0.0	1.0	0.0	2.0	502,919	0.8559340081163752	1.7729843717320367E13	5439903.446180261	1.4258557252773726E7	0.4887608834644557	0.5112391165355443	574,100	600,503	0.762420494	0.031258158	0.158183480	0.023732215	0.001249314	0.007489554	0.014407451	0.001259334	1,445,733	59,273	299,954	45,002	2,369	14,202	27,320	2,388
Connecticut	1	1,841,517	3,1,	D+11	183120	207218	2.0	0.0	1.0	0.0	1.0	460,379	0.5787272364691286	4.295547281887367E11	1828535.2944906813	1634029.7338561001	0.6104633767336815	0.38953662326631855	505,996	322,876	0.712038610	0.099930720	0.133094560	0.038838727	0.000257853	0.001278638	0.010562757	0.003998136	1,005,155	141,068	187,884	54,827	364	1,805	14,911	5,644
Connecticut	2	1,732,580	2,1,	D+12	183750	132740	2.0	0.0	0.0	0.0	1.0	577,527	0.5289885101402545	7.314363320251351E11	1828535.2944906808	3119828.4336587638	0.6153570885969462	0.3846429114030539	490,087	306,340	0.774025883	0.078003663	0.097413901	0.033936514	0.000271290	0.002407420	0.011809660	0.002131670	1,041,393	104,948	131,063	45,659	365	3,239	15,889	2,868
Delaware	1	897,934	1,1,	D+13	100832	101959	1.0	0.0	0.0	1.0	0.0	448,967	0.8135230378925188	5.1979433470856586E11	0.0	3778109.2446150845	0.6263813864988855	0.3736186135011144	255,459	152,374	0.690056908	0.195015957	0.066654242	0.031303049	0.000255718	0.003247762	0.012268680	0.001197684	477,636	134,984	46,136	21,667	177	2,248	8,492	829
Florida	1	2,971,916	2,3,	R+2	26948	69441	2.0	0.0	1.0	0.0	2.0	594,383	0.25823291083952515	1.3314377872199011E12	6825097.316113126	1632306.3714170358	0.4805989322680016	0.5194010677319985	333,713	360,656	0.660326788	0.118316623	0.173259002	0.030315339	0.000651009	0.002616874	0.011942004	0.002572361	1,542,771	276,432	404,798	70,828	1,521	6,114	27,901	6,010
Florida	2	2,773,482	3,2,	D+1	13100	64212	2.0	0.0	1.0	0.0	2.0	554,696	0.27892609140105684	2.488651328628367E12	5380357.632829784	6944448.18609472	0.510199314127662	0.48980068587233805	327,600	314,502	0.377680763	0.090400371	0.504128719	0.017582434	0.000242920	0.001417879	0.006975539	0.001571375	819,355	196,118	1,093,676	38,144	527	3,076	15,133	3,409
Florida	3	2,582,024	2,3,	R+6	85218	75341	2.0	0.0	0.0	1.0	2.0	516,405	0.29674801113767507	5.09628670552423E12	5472904.995937715	1.2290188563083215E7	0.4434454005710213	0.5565545994289788	334,086	419,301	0.753977200	0.146351852	0.059028768	0.020867798	0.000702211	0.004754106	0.013241766	0.001076300	1,541,860	299,285	120,712	42,674	1,436	9,722	27,079	2,201
Florida	4	2,871,942	3,2,	D+0	1068	63312	2.0	0.0	1.0	0.0	2.0	574,388	0.4243052813040524	1.0200552011930322E12	4072737.0718078674	1898204.0697633012	0.5008426589166265	0.49915734108337345	317,091	316,024	0.762785269	0.085560769	0.115091522	0.022518517	0.000532121	0.002285396	0.009955541	0.001270865	1,764,616	197,935	266,251	52,094	1,231	5,287	23,031	2,940
Florida	5	2,369,042	3,2,	D+15	92384	97648	3.0	0.0	1.0	0.0	1.0	473,808	0.2788847086145577	1.5284854934455505E11	2452004.130533276	229806.4705889452	0.6526951381620585	0.34730486183794146	637,332	339,130	0.578494100	0.203860486	0.173144183	0.026077328	0.000449950	0.001821175	0.012324462	0.003828316	1,082,547	381,488	324,008	48,799	842	3,408	23,063	7,164
Florida	6	1,696,909	2,3,	R+2	18752	45132	2.0	0.0	1.0	0.0	2.0	339,382	0.254899926815595	1.8641387164371682E12	8093544.338250544	1990581.4501693544	0.4792276483114224	0.5207723516885776	216,274	235,023	0.728385099	0.109083971	0.131102547	0.016753539	0.000430587	0.002685971	0.009946555	0.001611731	981,134	146,936	176,595	22,567	580	3,618	13,398	2,171
Florida	7	1,732,189	3,2,	D+11	77530	43877	3.0	0.0	0.0	1.0	1.0	346,438	0.2235912603904008	1.1685254695400658E11	2079213.0650324342	644640.1396430815	0.6116496224596079	0.38835037754039214	268,368	170,393	0.326270453	0.241858172	0.392875466	0.022840144	0.000407332	0.001405331	0.011864367	0.002478735	441,348	327,163	531,445	30,896	551	1,901	16,049	3,353
Florida	8	1,803,806	2,1,	D+1	6564	67270	1.0	0.0	1.0	0.0	1.0	601,269	0.25119211845710104	6.299468445514402E11	5613760.496865534	0.0	0.5081290942786637	0.49187090572133635	205,087	198,525	0.648671435	0.152889823	0.147868665	0.031758146	0.000621688	0.002897301	0.012760735	0.002532206	884,806	208,546	201,697	43,319	848	3,952	17,406	3,454
Georgia	1	2,295,331	1,4,	R+20	164870	172095	1.0	0.0	1.0	0.0	3.0	459,066	0.47989741713781375	1.7852100794725396E12	3891934.7368150796	3926959.622529231	0.3041992703894084	0.6958007296105916	261,751	598,708	0.735749406	0.093688536	0.104071581	0.052345303	0.000370095	0.002253559	0.010192299	0.001329222	1,226,598	156,192	173,502	87,267	617	3,757	16,992	2,216
Georgia	2	2,112,343	3,2,	D+5	87934	85456	2.0	1.0	0.0	0.0	2.0	422,469	0.40239010720248375	1.4296008371969954E12	5200505.325126394	1974961.2901349615	0.5514497392142843	0.4485502607857157	471,232	383,301	0.485269427	0.422640629	0.058700775	0.018860893	0.000435216	0.002337659	0.010606768	0.001148632	744,825	648,698	90,098	28,949	668	3,588	16,280	1,763
Georgia	3	1,768,545	1,2,	R+1	19720	119274	1.0	0.0	1.0	0.0	1.0	589,515	0.30213907016037644	3.255000248208478E12	7459209.288132449	5568100.066764569	0.48622340470128583	0.5137765952987141	347,958	367,676	0.591793429	0.332669070	0.042849127	0.017955395	0.000806731	0.002329304	0.010549846	0.001047098	787,854	442,882	57,045	23,904	1,074	3,101	14,045	1,394
Georgia	4	1,804,970	1,2,	R+5	68396	112699	1.0	0.0	0.0	1.0	1.0	601,657	0.5902242016990985	5.849915227957026E12	5391179.245222699	7692001.429230402	0.44942648746495034	0.5505735125350496	303,895	372,289	0.582770398	0.346805240	0.047716461	0.010435243	0.000592212	0.002600843	0.008402894	0.000676708	786,261	467,902	64,378	14,079	799	3,509	11,337	913
Georgia	5	1,706,464	2,1,	D+8	133108	131704	2.0	0.0	0.0	0.0	1.0	568,821	0.3582476579972145	1.402375892499085E11	2217917.9244936565	0.0	0.5842215892050179	0.4157784107949821	461,663	328,556	0.530578998	0.271976395	0.117217843	0.060874047	0.000411841	0.001803422	0.014228685	0.002908769	696,976	357,272	153,979	79,965	541	2,369	18,691	3,821
Hawaii	1	185,079	3,0,	D+27	14126	21915	2.0	0.0	1.0	0.0	0.0	61,693	0.5173926822463366	4.925152472611093E12	0.0	1.4582882199808676E7	0.7740900171881417	0.22590998281185828	50,891	14,852	0.255120054	0.014824659	0.071533569	0.411339321	0.085845205	0.002198805	0.157848257	0.001290130	269,530	15,662	75,574	434,573	90,694	2,323	166,764	1,363
Idaho	1	1,567,582	1,2,	R+13	166566	106421	1.0	0.0	0.0	0.0	2.0	522,527	0.551642918019351	1.7149255072304904E13	0.0	2.635343769005981E7	0.36956967742642766	0.6304303225735723	235,978	402,543	0.866508858	0.004969653	0.090281157	0.012484739	0.001330687	0.011053043	0.012558519	0.000813344	986,529	5,658	102,786	14,214	1,515	12,584	14,298	926
Illinois	1	3,068,356	3,2,	D+6	143950	129156	2.0	1.0	0.0	0.0	2.0	613,671	0.5136701929059404	4.3847290806381035E12	6396381.604858694	5280829.4704493275	0.555727011238391	0.4442729887616091	717,752	573,803	0.806050881	0.050976245	0.101842650	0.030162801	0.000222717	0.001589847	0.008529253	0.000625606	1,856,631	117,417	234,581	69,476	513	3,662	19,646	1,441
Illinois	2	2,685,867	3,2,	D+2	56782	117634	2.0	0.0	1.0	0.0	2.0	537,173	0.5105410177833111	6.422201737086779E12	4080929.670486885	1.1322477437835418E7	0.5241340673839415	0.4758659326160584	616,541	559,763	0.831096243	0.083604260	0.046935169	0.026177175	0.000326746	0.001957594	0.009256527	0.000646285	1,729,616	173,991	97,678	54,478	680	4,074	19,264	1,345
Illinois	3	3,113,525	4,1,	D+27	187746	125360	4.0	0.0	0.0	1.0	0.0	622,705	0.22224999018488178	1.042209779683152E11	2427513.3603893104	0.0	0.7748827169308012	0.22511728306919881	971,386	282,205	0.419550804	0.269031526	0.238930934	0.060298674	0.000204000	0.001267809	0.009545075	0.001171177	976,893	626,420	556,333	140,401	475	2,952	22,225	2,727
