,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,Grofman Asym,efficiency gap,Cs,margin,ndist
995,UT,49,1984,208223.0,387410.0,0.3495827128449901,0.6504172871550099,0.0,0.0,0.0,0.0,0.060814103488945059,0.5,0.19916542568998019,0.45172345368073924,0.1504172871550099,3
996,UT,49,1986,196683.0,229717.0,0.4612640712945591,0.538735928705441,1.0,0.3333333333333333,0.0,0.0,-0.027106326770894196,-0.5,0.089194809255784824,-0.23267236747389131,0.0387359287054409,3
997,UT,49,1988,260123.0,341056.0,0.43268810121444695,0.567311898785553,1.0,0.3333333333333333,0.0,0.0,0.031663639048556735,0.5,0.032042869095560533,0.2323018756751003,0.06731189878555305,3
998,UT,49,1990,233821.0,191067.0,0.5503120822428499,0.4496879177571501,2.0,0.6666666666666666,0.0,0.0,-0.036869938382387279,-0.5,-0.066042502180966856,-0.43027066281074827,-0.05031208224284989,3
999,UT,49,1992,331479.0,362363.0,0.47774421265936623,0.5222557873406337,2.0,0.6666666666666666,-0.5,-0.16666666666666666,-0.040504359545611102,-0.5,-0.21117824134793417,-0.25022249521409923,0.02225578734063377,3
1000,UT,49,1994,216080.0,252300.0,0.4613348136128784,0.5386651863871216,1.0,0.3333333333333333,0.0,0.0,0.02444490220107115,0.5,0.089336293892423591,0.19889566804883169,0.038665186387121575,3
1001,UT,49,1996,264327.0,386309.0,0.40625941386581743,0.5937405861341826,0.0,0.0,0.5,0.16666666666666666,-0.028606773010407649,-0.5,0.31251882773163486,-0.31393593525394681,0.09374058613418257,3
1002,UT,49,1998,212399.5739769,282496.92602310004,0.4291797860298062,0.5708202139701938,1.0,0.3333333333333333,0.0,0.0,-0.024194873919941684,-0.5,0.025026238726279182,-0.22534815440197042,0.07082021397019378,3
1003,UT,49,2000,304797.0,426648.0,0.4167052888460513,0.5832947111539487,1.0,0.3333333333333333,0.0,0.0,0.026519816688283959,0.5,7.7244358769323895e-05,0.17924719242883311,0.08329471115394871,3
1004,UT,49,2002,221401.0,321986.0,0.40744625837570647,0.5925537416242935,1.0,0.3333333333333333,0.0,0.0,0.016826448079862999,0.5,-0.018440816581920372,0.1640169913517501,0.09255374162429353,3
1005,UT,49,2004,361628.0,520403.0,0.4099946600516308,0.5900053399483691,1.0,0.3333333333333333,0.0,0.0,0.060338202130549579,0.5,-0.013344013230071672,0.43249806673680391,0.09000533994836918,3
1006,UT,49,2006,244483.0,292235.0,0.4555148141109484,0.5444851858890516,1.0,0.3333333333333333,0.5,0.16666666666666666,0.07852127192676811,0.5,0.077696294888563555,0.5150839274327863,0.04448518588905159,3
1007,UT,49,2008,393761.0,503917.0,0.43864392354496823,0.5613560764550318,1.0,0.3333333333333333,0.5,0.16666666666666666,0.10316145031062746,0.5,0.043954513756603086,0.52938687365658932,0.06135607645503177,3
1008,UT,49,2010,218236.0,390969.0,0.3582308090051789,0.6417691909948211,1.0,0.3333333333333333,-0.5,-0.16666666666666666,0.083292244204785704,0.5,-0.11687171532297552,0.52573584411388963,0.1417691909948211,3
1009,UT,49,2012,324309.0,647873.0,0.333588772472644,0.6664112275273559,1.0,0.25,-0.5,-0.125,0.032227198094511189,0.0,-0.082822455054711974,0.2651446375228621,0.166411227527356,4
1010,UT,49,2014,183491.0,351034.0,0.343278611851644,0.656721388148356,0.0,0.0,0.0,0.0,0.015148145000406288,0.0,0.18655722370328798,0.15174243575995572,0.156721388148356,4
1011,UT,49,2016,356290.0,710656.0,0.3339344259222116,0.6660655740777883,0.0,0.0,0.0,0.0,0.014702148560126416,0.0,0.16786885184442324,0.19242555999299166,0.16606557407778838,4
1012,VT,50,1972,65062.0,120924.0,0.3498220296151323,0.6501779703848677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501779703848677,1
1013,VT,50,1974,56342.0,74561.0,0.43041030381274686,0.5695896961872531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06958969618725314,1
1014,VT,50,1976,60202.0,124458.0,0.32601537961659266,0.6739846203834073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17398462038340734,1
1015,VT,50,1978,23228.0,90688.0,0.20390463148284702,0.796095368517153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296095368517153,1
1016,VT,50,1980,43628.5643956,89572.93560439999,0.3275380862497795,0.6724619137502206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17246191375022052,1
1017,VT,50,1982,38296.0,114191.0,0.25114272036304736,0.7488572796369526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24885727963695264,1
1018,VT,50,1984,60360.0,148025.0,0.2896561652710128,0.7103438347289872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2103438347289872,1
1019,VT,50,1986,64349.9133987,111976.086601,0.3649485237503799,0.6350514762496201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1350514762496201,1
1020,VT,50,1988,45330.0,98937.0,0.3142090706814448,0.6857909293185551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18579092931855518,1
1021,VT,50,1990,126918.0,82938.0,0.6047861390667887,0.3952138609332113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10478613906678869,1
1022,VT,50,1992,185003.0,86901.0,0.6803982287866306,0.3196017712133694,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1803982287866306,1
1023,VT,50,1994,105502.0,98523.0,0.5171032961646858,0.48289670383531424,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017103296164685755,1
1024,VT,50,1996,164508.0,83021.0,0.6646009154482909,0.3353990845517091,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16460091544829092,1
1025,VT,50,1998,136403.0,70740.0,0.658496787243595,0.34150321275640505,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15849678724359495,1
1026,VT,50,2000,211036.0,51977.0,0.8023785896514621,0.19762141034853786,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30237858965146214,1
1027,VT,50,2002,144880.0,72813.0,0.6655243852581387,0.33447561474186127,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16552438525813873,1
1028,VT,50,2004,227458.0,74271.0,0.753848652267432,0.24615134773256797,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25384865226743203,1
1029,VT,50,2006,139815.0,117023.0,0.5443703813298655,0.4556296186701345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04437038132986548,1
1030,VT,50,2008,160313.163054,83310.33694630001,0.6580365320004129,0.3419634679995871,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1580365320004129,1
1031,VT,50,2010,154006.0,76403.0,0.6684027099635865,0.3315972900364135,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16840270996358653,1
1032,VT,50,2012,208600.0,67543.0,0.7554057137063044,0.24459428629369562,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2554057137063044,1
1033,VT,50,2014,123349.0,59432.0,0.6748458537813011,0.32515414621869887,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17484585378130113,1
1034,VT,50,2016,130711.405925,52069.5940747,0.7151257839995105,0.28487421600048946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21512578399951054,1
1035,VA,51,1972,567461.9490312,720758.0509688,0.4405008065634752,0.5594991934365248,2.0,0.2,0.5,0.05,0.011700410111004422,1.0,0.18100161312695029,0.075857110480108902,0.05949919343652482,10
1036,VA,51,1974,479839.2442231,509755.0414912,0.4848848170912252,0.5151151829087748,4.0,0.4,0.0,0.0,-0.0029717164609245339,0.0,0.069769634182450413,-0.037481084741588698,0.015115182908774782,10
1037,VA,51,1976,700987.4684301,799079.1982364999,0.46730420987742627,0.5326957901225737,3.0,0.3,1.0,0.1,0.015169465539555615,0.0,0.13460841975485249,0.1698632223146361,0.03269579012257373,10
1038,VA,51,1978,522649.6881675,719056.3118324999,0.42091258974950596,0.579087410250494,3.0,0.3,-0.5,-0.05,0.030233794052678065,1.0,0.041825179499011877,0.307698895087957,0.07908741025049404,10
1039,VA,51,1980,771004.0036763999,1006359.9963225999,0.43379071685756765,0.5662092831424324,2.0,0.2,0.0,0.0,0.036220670014586842,1.0,0.16758143371513534,0.4023916208715419,0.06620928314243235,10
1040,VA,51,1982,705661.5854042,736115.9145958,0.4894386168491324,0.5105613831508675,5.0,0.5,-0.5,-0.05,-0.010455885566670875,-1.0,-0.021122766301735152,-0.15998610820483533,0.010561383150867576,10
1041,VA,51,1984,980950.0745741,1108666.5920927,0.4694402041398521,0.5305597958601479,5.0,0.5,0.0,0.0,-0.0074315700067272839,0.0,-0.061119591720295796,-0.086832573585912315,0.030559795860147898,10
1042,VA,51,1986,605772.4804686999,652765.8528645,0.48133017836995895,0.518669821630041,5.0,0.5,0.0,0.0,-0.0085881875613847969,0.0,-0.0373396432600821,-0.074348341336522183,0.01866982163004105,10
1043,VA,51,1988,929089.3647825001,1098907.7780743,0.4581314959219864,0.5418685040780136,5.0,0.5,0.0,0.0,-0.0025338038064793844,0.0,-0.083737008156027248,-0.01761685911265343,0.041868504078013624,10
1044,VA,51,1990,717919.3424816999,723672.6575183,0.49800452727380556,0.5019954727261944,6.0,0.6,-1.0,-0.1,-0.045159380718889919,-1.0,-0.10399094545238885,-0.46418383978579902,0.001995472726194436,10
1045,VA,51,1992,1205001.4452845,1082559.654715,0.5267625180742772,0.4732374819257228,7.0,0.6363636363636364,-1.0,-0.09090909090909091,-0.027132156799653195,-0.5,-0.082838600215081937,-0.16729833229102914,-0.02676251807427721,11
1046,VA,51,1994,908468.4788962001,996231.021104,0.47696157787415,0.5230384221258499,6.0,0.5454545454545454,-1.0,-0.09090909090909091,-0.048771183773730742,-0.5,-0.091531389706245414,-0.27409866360190294,0.02303842212585,11
1047,VA,51,1996,1095206.0385196,1081290.2614799999,0.5031968299324935,0.4968031700675065,6.0,0.5454545454545454,-0.5,-0.045454545454545456,-0.10675410824126019,-0.5,-0.039060885589558447,-0.47133207028737356,-0.0031968299324934835,11
1048,VA,51,1998,769200.3731105,764656.1268899,0.5014813140018636,0.4985186859981364,6.0,0.5454545454545454,-0.5,-0.045454545454545456,-0.041876232710693018,-0.5,-0.042491917450818262,-0.22295696062874293,-0.0014813140018635762,11
1049,VA,51,2000,1223769.1077237,1316171.7494194,0.4818100800583928,0.5181899199416071,4.0,0.36363636363636365,1.0,0.09090909090909091,0.094384812709151999,1.5,0.099983796480421994,0.50056943169377355,0.01818991994160718,11
1050,VA,51,2002,795409.5814464,951586.2185533,0.4553013701844828,0.5446986298155172,3.0,0.2727272727272727,1.5,0.13636363636363635,0.076342029145566537,0.5,0.13787546764169289,0.52632098952268691,0.0446986298155172,11
1051,VA,51,2004,1322725.2668059,1672317.608194,0.4416381741466536,0.5583618258533465,3.0,0.2727272727272727,1.5,0.13636363636363635,0.069229526094691352,1.5,0.11054907556603444,0.54543204456805972,0.05836182585334643,11
1052,VA,51,2006,1129318.8818822,1252446.4931176999,0.4741520276245713,0.5258479723754287,3.0,0.2727272727272727,2.0,0.18181818181818182,0.062991103458515108,1.5,0.17557678252186992,0.44840687489943787,0.025847972375428685,11
