,State,year,contestedFrac
699,NM,1990,0.6666666666666666
700,NM,1992,1.0
701,NM,1994,1.0
702,NM,1996,1.0
703,NM,1998,1.0
704,NM,2000,1.0
705,NM,2002,0.6666666666666666
706,NM,2004,1.0
707,NM,2006,1.0
708,NM,2008,1.0
709,NM,2010,1.0
710,NM,2012,1.0
711,NM,2014,1.0
712,NM,2016,1.0
713,NY,1972,0.9230769230769231
714,NY,1974,0.8717948717948718
715,NY,1976,0.8717948717948718
716,NY,1978,0.8205128205128205
717,NY,1980,0.8974358974358975
718,NY,1982,0.8235294117647058
719,NY,1984,0.9411764705882353
720,NY,1986,0.7941176470588235
721,NY,1988,0.7352941176470589
722,NY,1990,0.8235294117647058
723,NY,1992,0.8709677419354839
724,NY,1994,0.8387096774193549
725,NY,1996,1.0
726,NY,1998,0.9032258064516129
727,NY,2000,0.967741935483871
728,NY,2002,0.7586206896551724
729,NY,2004,0.896551724137931
730,NY,2006,0.8620689655172413
731,NY,2008,0.9310344827586207
732,NY,2010,0.9655172413793104
733,NY,2012,0.9629629629629629
734,NY,2014,0.6296296296296297
735,NY,2016,0.8518518518518519
736,NC,1972,0.8181818181818182
737,NC,1974,0.7272727272727273
738,NC,1976,0.8181818181818182
739,NC,1978,0.8181818181818182
740,NC,1980,0.9090909090909091
741,NC,1982,0.9090909090909091
742,NC,1984,1.0
743,NC,1986,1.0
744,NC,1988,0.8181818181818182
745,NC,1990,1.0
746,NC,1992,1.0
747,NC,1994,0.9166666666666666
748,NC,1996,1.0
749,NC,1998,0.75
750,NC,2000,0.8333333333333334
751,NC,2002,0.8461538461538461
752,NC,2004,1.0
753,NC,2006,0.9230769230769231
754,NC,2008,1.0
755,NC,2010,1.0
756,NC,2012,1.0
757,NC,2014,0.9230769230769231
758,NC,2016,1.0
759,ND,1972,1.0
760,ND,1974,1.0
761,ND,1976,1.0
762,ND,1978,1.0
763,ND,1980,1.0
764,ND,1982,1.0
765,ND,1984,1.0
766,ND,1986,1.0
767,ND,1988,1.0
768,ND,1990,1.0
769,ND,1992,1.0
770,ND,1994,1.0
771,ND,1996,1.0
772,ND,1998,1.0
773,ND,2000,1.0
774,ND,2002,1.0
775,ND,2004,1.0
776,ND,2006,1.0
777,ND,2008,1.0
778,ND,2010,1.0
779,ND,2012,1.0
780,ND,2014,1.0
781,ND,2016,1.0
782,OH,1972,0.9130434782608695
783,OH,1974,0.9565217391304348
784,OH,1976,0.9565217391304348
785,OH,1978,0.9130434782608695
786,OH,1980,0.9130434782608695
787,OH,1982,0.9047619047619048
788,OH,1984,0.9047619047619048
789,OH,1986,0.9047619047619048
790,OH,1988,0.9523809523809523
791,OH,1990,0.9523809523809523
792,OH,1992,0.9473684210526315
793,OH,1994,0.8421052631578947
794,OH,1996,0.9473684210526315
795,OH,1998,1.0
796,OH,2000,0.9473684210526315
797,OH,2002,0.9444444444444444
798,OH,2004,0.8888888888888888
799,OH,2006,1.0
800,OH,2008,1.0
801,OH,2010,1.0
802,OH,2012,0.875
803,OH,2014,0.9375
804,OH,2016,1.0
805,OK,1972,0.8333333333333334
806,OK,1974,0.6666666666666666
807,OK,1976,1.0
808,OK,1978,0.8333333333333334
809,OK,1980,0.8333333333333334
810,OK,1982,1.0
811,OK,1984,1.0
812,OK,1986,0.8333333333333334
813,OK,1988,0.6666666666666666
814,OK,1990,1.0
815,OK,1992,1.0
816,OK,1994,0.8333333333333334
817,OK,1996,1.0
818,OK,1998,1.0
819,OK,2000,0.8333333333333334
820,OK,2002,0.8
821,OK,2004,0.6
822,OK,2006,1.0
823,OK,2008,1.0
824,OK,2010,0.6
825,OK,2012,1.0
826,OK,2014,0.8
827,OK,2016,0.8
828,OR,1972,0.75
829,OR,1974,1.0
830,OR,1976,0.75
831,OR,1978,0.75
832,OR,1980,1.0
833,OR,1982,1.0
834,OR,1984,1.0
835,OR,1986,1.0
836,OR,1988,0.8
837,OR,1990,0.8
838,OR,1992,1.0
839,OR,1994,1.0
840,OR,1996,1.0
841,OR,1998,0.8
842,OR,2000,1.0
843,OR,2002,1.0
844,OR,2004,1.0
845,OR,2006,1.0
846,OR,2008,0.6
847,OR,2010,1.0
848,OR,2012,1.0
849,OR,2014,1.0
850,OR,2016,0.8
851,PA,1972,1.0
852,PA,1974,0.96
853,PA,1976,0.96
854,PA,1978,1.0
855,PA,1980,0.92
856,PA,1982,0.9565217391304348
857,PA,1984,0.9565217391304348
858,PA,1986,0.782608695652174
859,PA,1988,0.782608695652174
860,PA,1990,0.7391304347826086
861,PA,1992,0.8095238095238095
862,PA,1994,0.8095238095238095
863,PA,1996,1.0
864,PA,1998,0.8095238095238095
865,PA,2000,0.8095238095238095
866,PA,2002,0.6842105263157895
867,PA,2004,0.6842105263157895
868,PA,2006,0.8947368421052632
869,PA,2008,0.9473684210526315
870,PA,2010,0.9473684210526315
871,PA,2012,1.0
872,PA,2014,0.8333333333333334
873,PA,2016,0.8333333333333334
874,RI,1972,1.0
875,RI,1974,1.0
876,RI,1976,1.0
