,State,cycle,AreaNumber,avgDemVote,avgRepVote
578,HI,2010,2,160453.66666666666,38001.666666666664
579,ID,1970,1,72087.600000000006,92006.399999999994
580,ID,1970,2,63464.199999999997,90154.600000000006
581,ID,1980,1,70616.800000000003,111522.8
582,ID,1980,2,101378.8,79157.600000000006
583,ID,1990,1,106488.60000000001,124405.8
584,ID,1990,2,66602.399999999994,138254.20000000001
585,ID,2000,1,110632.8,148433.20000000001
586,ID,2000,2,68794.0,160963.20000000001
587,ID,2010,1,95926.333333333328,195078.0
588,ID,2010,2,96529.333333333328,181398.66666666666
589,IL,1970,1,101147.2,13324.6
590,IL,1970,2,103818.39999999999,19869.200000000001
591,IL,1970,3,98345.0,75941.399999999994
592,IL,1970,4,57935.800000000003,116297.8
593,IL,1970,5,107705.39999999999,28413.200000000001
594,IL,1970,6,62301.800000000003,101593.2
595,IL,1970,7,78398.199999999997,13745.200000000001
596,IL,1970,8,94208.800000000003,21416.200000000001
597,IL,1970,9,111944.5,44013.5
598,IL,1970,10,96394.0,106883.39999999999
599,IL,1970,11,118092.8,60219.199999999997
600,IL,1970,12,48206.800000000003,134230.20000000001
601,IL,1970,13,50751.800000000003,90968.0
602,IL,1970,14,51604.400000000001,145982.39999999999
603,IL,1970,15,65398.0,99921.800000000003
604,IL,1970,16,48614.0,103759.2
605,IL,1970,17,64433.199999999997,98685.0
606,IL,1970,18,65367.800000000003,103130.0
