,Unnamed: 0,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,margin,ndist
798,798,OH,39,2004,2483029.54573,2825307.70427,0.467760322826,0.532239677174,6.0,0.333333333333,3.0,0.166666666667,0.0802163294956,0.0322396771737,18
802,802,OH,39,2012,2504692.97814,2670100.16472,0.484017990477,0.515982009523,4.0,0.25,3.5,0.21875,0.0737429781822,0.0159820095228,16
804,804,OH,39,2016,2154523.0,2996017.0,0.418310118939,0.581689881061,4.0,0.25,2.5,0.15625,0.0869561990315,0.081689881061,16
871,871,PA,42,2012,2793538.0,2710070.0,0.507583025535,0.492416974465,5.0,0.277777777778,4.0,0.222222222222,0.0764880512444,-0.00758302553525,18
872,872,PA,42,2014,1610803.29532,1818901.10468,0.469662427852,0.530337572148,5.0,0.277777777778,4.0,0.222222222222,0.071768160394,0.0303375721475,18
873,873,PA,42,2016,2862881.81564,3067053.78436,0.482784638613,0.517215361387,5.0,0.277777777778,4.0,0.222222222222,0.0731950138825,0.0172153613874,18
969,969,TX,48,1978,1387439.03344,923930.166563,0.600267163479,0.399732836521,20.0,0.833333333333,-2.5,-0.104166666667,-0.0416853547806,-0.100267163479,24
970,970,TX,48,1980,2385763.91297,1990797.42036,0.545122924429,0.454877075571,19.0,0.791666666667,-4.5,-0.1875,-0.0301690229317,-0.0451229244295,24
971,971,TX,48,1982,1692102.02283,1266901.47717,0.571848604716,0.428151395284,21.0,0.777777777778,-3.5,-0.12962962963,-0.033872939642,-0.0718486047161,27
972,972,TX,48,1984,2814063.13105,2575295.86895,0.522151731041,0.477848268959,17.0,0.62962962963,-3.0,-0.111111111111,-0.0501550918605,-0.0221517310409,27
973,973,TX,48,1986,1874010.18794,1590513.87088,0.540914179299,0.459085820701,17.0,0.62962962963,-3.0,-0.111111111111,-0.0725042348299,-0.0409141792987,27
974,974,TX,48,1988,2877863.45963,2538110.89751,0.531365783857,0.468634216143,19.0,0.703703703704,-4.0,-0.148148148148,-0.0678543492728,-0.0313657838565,27
975,975,TX,48,1990,2255271.63893,1938140.78964,0.537812981038,0.462187018962,19.0,0.703703703704,-3.5,-0.12962962963,-0.0492636255877,-0.0378129810377,27
976,976,TX,48,1992,2893537.27546,2797606.72454,0.508428055144,0.491571944856,21.0,0.7,-6.0,-0.2,-0.0643527134207,-0.00842805514362,30
977,977,TX,48,1994,1889615.23905,2094135.16095,0.474330730924,0.525669269076,19.0,0.633333333333,-4.5,-0.15,-0.0545336459665,0.0256692690763,30
978,978,TX,48,1996,2030567.60616,2202199.89384,0.479725760076,0.520274239924,17.0,0.566666666667,-3.0,-0.1,-0.0362591676758,0.0202742399244,30
1055,1055,VA,51,2012,1806025.0,1876761.0,0.490396400986,0.509603599014,3.0,0.272727272727,2.5,0.227272727273,0.0631608636956,0.00960359901444,11
