,State,raceYear,AreaNumber,RepVotes,RepStatus,DemVotes,DemStatus,Dem Vote %,Winner,imputedRep,imputedDem,centeredRep,centeredDem
1755,Florida,1972,7,43343.0,Challenger,91931.0,Incumbent,0.679591052,D,43343.0,91931.0,48208.1180294,83503.868007
1756,Florida,1972,8,64920.0,Challenger,89068.0,Incumbent,0.578408707,D,64920.0,89068.0,72207.0697107,80903.3135248
1757,Florida,1972,9,1.0,Incumbent,0.0,0,0.0,R,82885.75,72974.0,92189.4197208,66284.6185067
1758,Florida,1972,10,113461.0,Challenger,69502.0,Challenger,0.379869154,R,113461.0,69502.0,126196.647203,63130.8898437
1759,Florida,1972,11,76739.0,Challenger,116157.0,Incumbent,0.602174229,D,76739.0,116157.0,85352.715997,105509.118753
1760,Florida,1972,12,110750.0,Incumbent,65526.0,Challenger,0.371723888,R,110750.0,65526.0,123181.345817,59519.3618587
1761,Florida,1972,13,57418.0,Challenger,92258.0,Challenger,0.616384724,D,57418.0,92258.0,63862.9933556,83800.8925672
1762,Florida,1972,14,35935.0,Challenger,75131.0,Incumbent,0.67645364,D,35935.0,75131.0,39968.5928844,68243.8906053
1763,Florida,1972,15,68320.0,Challenger,89961.0,Incumbent,0.568362596,D,68320.0,89961.0,75988.7092211,81714.4539903
1764,Florida,1974,1,0.0,0,1.0,Incumbent,1.0,D,62827.0,102718.5,72098.3171838,91014.67705
1765,Florida,1974,2,0.0,0,1.0,Incumbent,1.0,D,41368.0,125450.5,47472.6341423,111156.575916
1766,Florida,1974,3,0.0,0,0.0,Incumbent,1.0,D,26713.5,103056.5,30655.5843203,91314.1650764
1767,Florida,1974,4,34867.0,Challenger,74720.0,Incumbent,0.681832699,D,34867.0,74720.0,40012.2881126,66206.3471446
1768,Florida,1974,5,74954.0,Challenger,63610.0,Challenger,0.459065847,R,74954.0,63610.0,86014.8863736,56362.2288794
1769,Florida,1974,6,109302.0,Incumbent,34886.0,Challenger,0.241948012,R,109302.0,34886.0,125431.586178,30911.0629883
1770,Florida,1974,7,0.0,0,1.0,Incumbent,1.0,D,49693.3333333,109066.333333,57026.5285401,96639.2334912
1771,Florida,1974,8,48240.0,Challenger,63283.0,Incumbent,0.567443487,D,48240.0,63283.0,55358.7282688,56072.4875047
1772,Florida,1974,9,86226.0,Incumbent,26255.0,Challenger,0.233417199,R,86226.0,26255.0,98950.2840736,23263.4856034
1773,Florida,1974,10,117368.0,Incumbent,41925.0,Challenger,0.26319424,R,117368.0,41925.0,134687.877684,37148.0340476
1774,Florida,1974,11,0.0,0,1.0,Incumbent,1.0,D,104672.0,147072.0,120118.341736,130314.505986
1775,Florida,1974,12,61191.0,Incumbent,58899.0,Challenger,0.490457157,R,61191.0,58899.0,70220.8943097,52188.0037536
1776,Florida,1974,13,0.0,0,1.0,Incumbent,1.0,D,45201.6666667,115969.333333,51872.0311422,102755.700492
1777,Florida,1974,14,20383.0,Challenger,45479.0,Incumbent,0.690519571,D,20383.0,45479.0,23390.898804,40297.0886214
1778,Florida,1974,15,28444.0,Challenger,68064.0,Incumbent,0.705267957,D,28444.0,68064.0,32641.4524643,60308.736778
1779,Florida,1976,1,0.0,0,1.0,Challenger,1.0,D,62827.0,102718.5,70050.2011856,93116.7952968
1780,Florida,1976,2,0.0,0,1.0,Incumbent,1.0,D,41368.0,125450.5,46124.0664467,113723.901034
1781,Florida,1976,3,0.0,0,1.0,Incumbent,1.0,D,26713.5,103056.5,29784.7430145,93423.200441
1782,Florida,1976,4,0.0,0,1.0,Incumbent,1.0,D,56599.5,107084.5,63106.7273943,97074.6794974
1783,Florida,1976,5,138371.0,Incumbent,96260.0,Challenger,0.410261219,R,138371.0,96260.0,154279.472014,87262.0094264
1784,Florida,1976,6,151371.0,Incumbent,80821.0,Challenger,0.348078314,R,151371.0,80821.0,168774.078082,73266.183917
1785,Florida,1976,7,53599.0,Challenger,102739.0,Incumbent,0.657159488,D,53599.0,102739.0,59761.2608169,93135.3790407
1786,Florida,1976,8,74794.0,Challenger,103360.0,Challenger,0.580172211,D,74794.0,103360.0,83393.0435557,93698.330504
1787,Florida,1976,9,130509.0,Incumbent,36630.0,Challenger,0.219158904,R,130509.0,36630.0,145513.580253,33205.9776157
1788,Florida,1976,10,164273.0,Incumbent,83413.0,Challenger,0.336769135,R,164273.0,83413.0,183159.417119,75615.8943724
1789,Florida,1976,11,0.0,0,199031.0,Incumbent,1.0,D,104672.0,147072.0,116706.108178,133324.311764
1790,Florida,1976,12,107268.0,Incumbent,91749.0,Challenger,0.461010868,R,107268.0,91749.0,119600.569513,83172.6792319
1791,Florida,1976,13,35357.0,Challenger,127822.0,Incumbent,0.783323835,D,35357.0,127822.0,39421.9835949,115873.722926
1792,Florida,1976,14,30774.0,Challenger,82665.0,Incumbent,0.728717637,D,30774.0,82665.0,34312.0774712,74937.814349
1793,Florida,1976,15,50941.0,Challenger,121292.0,Incumbent,0.704232058,D,50941.0,121292.0,56797.671361,109954.120583
1794,Florida,1978,1,49715.0,Challenger,85608.0,Challenger,0.632619732,D,49715.0,85608.0,59969.665785,73106.8994712
1795,Florida,1978,2,25148.0,Challenger,112649.0,Incumbent,0.817499655,D,25148.0,112649.0,30335.2540513,96199.1766953
1796,Florida,1978,3,0.0,0,1.0,Incumbent,1.0,D,26713.5,103056.5,32223.668248,88007.4430585
1797,Florida,1978,4,41647.0,Challenger,113302.0,Incumbent,0.731221241,D,41647.0,113302.0,50237.4870954,96756.8209033
1798,Florida,1978,5,106319.0,Incumbent,101867.0,Challenger,0.489307638,R,106319.0,101867.0,128249.319051,86991.6424684
1799,Florida,1978,6,150694.0,Incumbent,40654.0,Challenger,0.212461066,R,150694.0,40654.0,181777.508112,34717.4083158
1800,Florida,1978,7,0.0,0,1.0,Incumbent,1.0,D,49693.3333333,109066.333333,59943.5299556,93139.6769775
1801,Florida,1978,8,0.0,0,1.0,Incumbent,1.0,D,62443.5,101831.0,75323.6613788,86960.8994493
1802,Florida,1978,9,56074.0,Challenger,89543.0,Challenger,0.614921335,D,56074.0,89543.0,67640.3306694,76467.2822557
1803,Florida,1978,10,1.0,Incumbent,0.0,0,0.0,R,166873.75,66871.5,201294.639763,57106.4389775
1804,Florida,1978,11,99757.0,Challenger,123346.0,Challenger,0.552865717,D,99757.0,123346.0,120333.781549,105334.123238
1805,Florida,1978,12,66610.0,Incumbent,107037.0,Challenger,0.616405697,D,66610.0,107037.0,80349.5813726,91406.6816033
1806,Florida,1978,13,0.0,0,1.0,Incumbent,1.0,D,45201.6666667,115969.333333,54525.3714759,99034.6508941
