,State,cycle,mean,std,alpha,beta,stdv of votePct
133,NE,2000,0.34016458950528905,0.057940001033492616,22.403310637663441,43.456897417046804,0.096949189890355933
134,NE,2010,0.35613644639196568,0.0035209791801078384,6586.827486458139,11908.408126716486,0.12993443465439983
135,NV,1970,0.68403189828540489,0.14735681514235821,6.1245316790206177,2.82904445444973,0.0
136,NV,1980,0.47993199817640753,0.041502853730899368,69.064702166655138,74.840481128227367,0.15604759240476557
137,NV,1990,0.43240140068043315,0.058372481781477463,30.713376523916455,40.316403850488996,0.10903226944100275
138,NV,2000,0.4689291550982892,0.072145828079908339,21.967021976436794,24.878054166957249,0.15278476548016143
139,NV,2010,0.47030112751675163,0.053996610537477001,39.713229275483791,44.72890141889615,0.12476374288121668
140,NH,1970,0.44826623007801281,0.091207320330001937,12.879035165710102,15.851737534853877,0.15151707560112046
141,NH,1980,0.39948623424840057,0.06469665640386571,22.496688558395931,33.817363415689087,0.10250655833878153
142,NH,1990,0.44809725122001687,0.060956032323430547,29.376441466502982,36.181741241649974,0.076694617654856925
143,NH,2000,0.46655514940981846,0.07357540054419287,20.983589801558903,23.991993102418608,0.024218080870770105
144,NH,2010,0.51789489295302438,0.0039388722033338744,8334.0139087926455,7758.0812676480728,0.02107021690742954
145,NJ,1970,0.54162081966711573,0.049623038477538926,54.065449555207472,45.756137045611361,0.16263157665913336
146,NJ,1980,0.50865291366310394,0.040941866416526682,75.330973372206628,72.767998143958877,0.18953776351983595
147,NJ,1990,0.48995252841399284,0.031293577354232362,124.53830536645336,129.64612709191499,0.19627478186118544
148,NJ,2000,0.52854419764287375,0.02700447993800148,180.077370216042,160.62709881251882,0.19003965630801334
149,NJ,2010,0.53612223024772743,0.023557039924660624,239.72846007869421,207.42416026298096,0.18187434784328871
150,NM,1970,0.5058065945381317,0.038224358569669881,86.027940010879135,84.052760675583883,0.18083261439129888
151,NM,1980,0.47570016607534793,0.049331458982570076,48.276969942241095,53.209162258508073,0.19512847523259469
152,NM,1990,0.48482060926303799,0.041590060929421926,69.5221869102581,73.875568015913032,0.14707184586992963
153,NM,2000,0.54293441988141811,0.030035669284873206,148.80480041870294,125.27029036519558,0.11446585031449934
154,NM,2010,0.54721844155378296,0.015537308141104895,561.09354626268669,464.26215021111352,0.13820497262916223
155,NY,1970,0.54170876148698466,0.038811673408683411,88.737131023897362,75.072534487723502,0.21533361825121036
156,NY,1980,0.53146852035732606,0.01149156486909904,1001.624970143032,883.01152623798089,0.22762877525164335
157,NY,1990,0.53968238529527035,0.024881417671053455,216.02310752390215,184.255117984073,0.23373573863625596
158,NY,2000,0.61135915651710593,0.05096068869498329,55.321974629224677,35.16816367898722,0.19791160337014119
159,NY,2010,0.62649943906050931,0.016928989467213787,510.90285589988451,304.58527393152923,0.20429697571772021
