year,state,Popular vote,Seat pct,Number of Districts,Standard deviation of vote among districts,Nagle area,Specific Asymmetry,Grofman King Asymmetry,Mean minus median,Efficiency gap,Lopsided Margins
2010,Virginia,0.545593637034829,0.7272727272727273,11.0,0.11750757477089843,0.06972727272727212,0.18181818181818188,0.5454545454545454,0.010245060261481975,0.1360854532030693,0.017231344729608036
2012,Virginia,0.5096035990144417,0.7272727272727273,11.0,0.14689948709334563,0.1082727272727269,0.4545454545454546,0.7272727272727273,0.060646084803322786,0.2080655292438438,0.12059453920912337
2014,Virginia,0.5494668386739893,0.7272727272727273,11.0,0.13955201798779396,0.107,0.2727272727272727,0.7272727272727273,0.06641239828978796,0.12833904992474876,0.03884964683382519
1972,Washington,0.3384105888742147,0.14285714285714285,7.0,0.16758352433184026,0.0492857142857145,-0.14285714285714285,0.42857142857142855,-0.0011328970517054393,-0.033964034891286576,0.1933733664917012
1974,Washington,0.4109912457470255,0.14285714285714285,7.0,0.13934850008159805,0.10585714285714215,-0.14285714285714285,0.14285714285714285,-0.026228817267247573,-0.17912534863690815,-0.06119445896631384
1976,Washington,0.4172777446502625,0.14285714285714285,7.0,0.1698384794348804,0.10385714285714295,-0.28571428571428575,0.2857142857142857,-0.005594946876208762,-0.19169834644338218,-0.089436094559502
1978,Washington,0.4705641066319869,0.14285714285714285,7.0,0.09248744215161765,0.06214285714285744,-0.28571428571428575,0.42857142857142855,-0.0037572577284122333,-0.29827107040683093,-0.08914954588433689
1980,Washington,0.49276027070751516,0.2857142857142857,7.0,0.15831027753092886,0.0875714285714281,-0.4285714285714286,0.2857142857142857,-0.0291290250444024,-0.19980625570074462,-0.10935218182101174
1982,Washington,0.46680327457029186,0.375,8.0,0.16033208794643125,0.07450000000000005,-0.25,0.375,-0.07490789208418275,-0.05860654914058372,-0.007183204826597123
1984,Washington,0.4450644720472693,0.375,8.0,0.17926874125128672,0.08800000000000006,-0.125,0.375,-0.08260850996716829,-0.015128944094538577,0.028982192567662407
1986,Washington,0.407123373153048,0.375,8.0,0.1921452922312334,0.12599999999999997,-0.25,0.375,-0.12416204315965884,0.06075325369390405,0.09980740484956022
1988,Washington,0.46545701073854845,0.375,8.0,0.19943782790846895,0.035250000000000024,-0.125,0.5,-0.025216728763615526,-0.0559140214770969,-0.004737090687682688
1990,Washington,0.46137178362505243,0.375,8.0,0.14520116904770922,0.02500000000000002,0.0,0.5,-0.0056382846114244045,-0.04774356725010487,0.03174146503138407
1992,Washington,0.424426294972768,0.1111111111111111,9.0,0.12729448117892453,0.04633333333333323,-0.1111111111111111,0.7777777777777778,0.021864212650729298,-0.23774147883442492,-0.04171229567287518
1994,Washington,0.5080212917258021,0.7777777777777778,9.0,0.13354144351730177,0.029222222222222195,0.4444444444444444,0.7777777777777778,0.00988480606238562,0.26173519432617354,0.10694752445259767
1996,Washington,0.47464005037759943,0.6666666666666666,9.0,0.14097592054353164,0.08544444444444545,0.4444444444444444,0.7777777777777778,0.029254720079545937,0.21738656591146777,0.12285272105885717
1998,Washington,0.47385932433579897,0.4444444444444444,9.0,0.16492204645619152,0.024333333333333245,0.11111111111111105,0.4444444444444444,-0.003995331408919223,-0.003274204227153521,0.01731503917279803
2000,Washington,0.4561333378422048,0.3333333333333333,9.0,0.14652949581014507,0.04033333333333315,-5.551115123125783E-17,0.4444444444444444,-0.0173576438754921,-0.07893334235107624,0.010212988642833445
2002,Washington,0.46189489563925185,0.3333333333333333,9.0,0.1548021327407082,0.05677777777777752,-0.1111111111111111,0.4444444444444444,-0.03582224355129665,-0.09045645794517038,-0.021795466019957688
2004,Washington,0.4051013887800065,0.3333333333333333,9.0,0.14581819166292787,0.064111111111111,0.1111111111111111,0.3333333333333333,-0.03907463481769313,0.023130555773320294,0.09321770743915483
2006,Washington,0.39077665148621515,0.3333333333333333,9.0,0.1474320564589584,0.06366666666666651,0.22222222222222215,0.3333333333333333,-0.032393684583431614,0.05178003036090301,0.13203481924493143
2008,Washington,0.40801581629274414,0.3333333333333333,9.0,0.16350276929947805,0.07922222222222282,0.22222222222222215,0.3333333333333333,-0.048141182214127554,0.01730170074784504,0.07970112850792199
2010,Washington,0.47970203642947656,0.4444444444444444,9.0,0.14293931421750808,0.050999999999999754,0.0,0.5555555555555556,0.009574618952921943,-0.014959628414508708,0.014910799982556677
2012,Washington,0.455561816552494,0.4,10.0,0.1554440280570829,0.0578000000000002,0.0,0.5,-0.01803372283004495,-0.011123633104987984,0.019416471763258253
2014,Washington,0.46370913856077145,0.4,10.0,0.1615868274461181,0.05080000000000018,0.0,0.4,-0.01240003536741785,-0.027418277121542878,0.012567285418671165
1972,West Virginia,0.3381946755407654,0.0,4.0,0.048768093913427984,0.010500000000000008,0.0,0.5,-0.0038294449933425345,-0.17638935108153075,0.0
1974,West Virginia,0.3448058412761788,0.0,4.0,0.050228401322497236,0.018000000000000013,0.0,0.5,-0.009339589414040117,-0.1896116825523576,0.0
1976,West Virginia,0.3484896361302021,0.0,4.0,0.08821059269475161,0.019000000000000013,0.0,0.5,-0.00625751631126692,-0.19697927226040424,0.0
1978,West Virginia,0.381083739204957,0.0,4.0,0.06642040667025581,0.01600000000000001,0.0,0.5,0.005863068102258728,-0.26216747840991395,0.0
1980,West Virginia,0.429909948792124,0.5,4.0,0.15706198048040512,0.05600000000000004,0.25,0.5,0.01532716973752074,0.14018010241575196,0.15777261781592786
1982,West Virginia,0.3709202076185449,0.0,4.0,0.13517867876992337,0.07400000000000005,-0.25,0.5,0.018141983821591767,-0.24184041523708977,0.0
1984,West Virginia,0.4113554449851059,0.0,4.0,0.06485344273232474,0.04900000000000004,-0.25,0.75,0.02318147736094861,-0.3227108899702118,0.0
1986,West Virginia,0.3323168705117638,0.0,4.0,0.04629154640131149,0.007500000000000005,0.0,0.5,-0.004236905331933383,-0.16463374102352757,0.0
1988,West Virginia,0.3167478381550568,0.0,4.0,0.08745227071184995,0.0025000000000000005,0.0,0.5,0.005025554693880885,-0.1334956763101136,0.0
1990,West Virginia,0.3931608624427619,0.0,4.0,0.0798360464247022,0.01300000000000001,0.0,0.5,-0.0022393448736634514,-0.28632172488552377,0.0
1992,West Virginia,0.30978629367466143,0.0,3.0,0.03317209921392256,0.021000000000000015,0.0,0.3333333333333333,-0.012784923674584392,-0.11957258734932286,0.0
1994,West Virginia,0.338601056660206,0.0,3.0,0.042492312509036304,0.03033333333333339,0.0,0.6666666666666666,0.02256094727676833,-0.17720211332041202,0.0
1996,West Virginia,0.3201741868580198,0.0,3.0,0.03274008151529835,0.012999999999999994,0.0,0.3333333333333333,-0.009040473284213535,-0.1403483737160396,0.0
1998,West Virginia,0.29204683294706063,0.0,3.0,0.07705830851009822,0.014333333333333326,0.0,0.6666666666666666,0.004954537052861585,-0.08409366589412126,0.0
2000,West Virginia,0.3876675149167934,0.3333333333333333,3.0,0.11618995326867498,0.04233333333333333,0.3333333333333333,0.3333333333333333,-0.03528003791733397,0.057998303499746495,0.16169187874967347
2002,West Virginia,0.444354999358246,0.3333333333333333,3.0,0.1558517694840291,0.035000000000000045,-5.551115123125783E-17,0.3333333333333333,-0.0500543420250697,-0.05537666538315872,0.0535178478590585
2004,West Virginia,0.42180675298355597,0.3333333333333333,3.0,0.14357111005918088,0.08566666666666688,-5.551115123125783E-17,0.3333333333333333,-0.07376332637562,-0.010280172633778617,0.0830223836211447
2006,West Virginia,0.41980801161166886,0.3333333333333333,3.0,0.1424587837869191,0.06299999999999988,-5.551115123125783E-17,0.3333333333333333,-0.06313314449716428,-0.0062826898900044115,0.09665311467571777
2008,West Virginia,0.4421877912138198,0.3333333333333333,3.0,0.12518986099019927,0.04033333333333334,-5.551115123125783E-17,0.3333333333333333,-0.04788713388065624,-0.05104224909430627,0.06672242847263973
2010,West Virginia,0.554045273240407,0.6666666666666666,3.0,0.13722645395731592,0.05833333333333323,-1.1102230246251565E-16,0.3333333333333333,-0.05004260479477651,0.058576120185852676,-0.0403594638234166
2012,West Virginia,0.5991277827845465,0.6666666666666666,3.0,0.12423591491389643,0.03833333333333335,-1.1102230246251565E-16,0.6666666666666666,0.025707030034445744,-0.03158889890242633,-0.12143285677773574
2014,West Virginia,0.5709358181266708,1.0,3.0,0.06444322589593522,0.023666666666666693,0.33333333333333326,0.3333333333333333,-0.01742836447605578,0.35812836374665835,0.0
1972,Wisconsin,0.4309866513854244,0.4444444444444444,9.0,0.17234791538127284,0.023888888888888803,0.0,0.4444444444444444,-0.05895522164777178,0.0824711416735956,0.1142417809369709
1974,Wisconsin,0.404045089919105,0.2222222222222222,9.0,0.15139931683002897,0.047666666666666496,-0.2222222222222222,0.4444444444444444,-0.05174569427629183,-0.08586795761598776,0.08132401613434151
1976,Wisconsin,0.41103424857403353,0.2222222222222222,9.0,0.16162444869814813,0.060555555555555245,-0.11111111111111116,0.4444444444444444,-0.06695532339013649,-0.09984627492584486,0.01942174177116046
1978,Wisconsin,0.4679530269873983,0.3333333333333333,9.0,0.14433363770355728,0.04411111111111103,-0.22222222222222227,0.3333333333333333,-0.050443979554881335,-0.10257272064146333,-5.342401402003705E-4
1980,Wisconsin,0.4961207078897271,0.4444444444444444,9.0,0.18169314639330272,0.03811111111111097,-0.11111111111111116,0.4444444444444444,-0.03917732017566755,-0.04779697133500982,0.0070201260856923575
1982,Wisconsin,0.4811618293956846,0.4444444444444444,9.0,0.1603049090278981,0.05433333333333307,-0.11111111111111116,0.4444444444444444,-0.09132829209049576,-0.017879214346924743,0.008426727679624352
1984,Wisconsin,0.5226497108912557,0.4444444444444444,9.0,0.18771270059060127,0.04633333333333313,-0.11111111111111116,0.4444444444444444,-0.08475415525712915,-0.10085497733806692,-0.08718756826354085
1986,Wisconsin,0.5083574977558851,0.4444444444444444,9.0,0.2007496134845214,0.02477777777777768,-0.11111111111111116,0.4444444444444444,-0.06500984709858981,-0.07227055106732583,-0.046026203456089376
1988,Wisconsin,0.5131957835666712,0.4444444444444444,9.0,0.20537633307213576,0.05255555555555533,-0.11111111111111116,0.4444444444444444,-0.09823660099652465,-0.08194712268889792,-0.05935409331252273
1990,Wisconsin,0.5042002351414088,0.5555555555555556,9.0,0.17832575240435994,0.05499999999999976,0.11111111111111116,0.5555555555555556,0.028151187750064866,0.04715508527273804,0.04493600270714898
1992,Wisconsin,0.5120449243008277,0.5555555555555556,9.0,0.15993929141772334,0.022111111111111036,0.11111111111111116,0.5555555555555556,0.016699282941176397,0.03146570695390016,0.019828533827214417
1994,Wisconsin,0.569823867918076,0.6666666666666666,9.0,0.1276879842985106,0.021444444444444367,0.11111111111111105,0.5555555555555556,0.006193566445157006,0.027018930830514543,-0.06007910463432174
1996,Wisconsin,0.5254300455758771,0.4444444444444444,9.0,0.15970021124908673,0.0672222222222222,-0.22222222222222232,0.3333333333333333,-0.04582177239542651,-0.10641564670730985,-0.06006145161154833
1998,Wisconsin,0.4827956590493647,0.4444444444444444,9.0,0.16728490643800117,0.01788888888888884,0.0,0.4444444444444444,-0.012010547296562368,-0.021146873654285026,0.018942338709370177
2000,Wisconsin,0.5247229938787179,0.4444444444444444,9.0,0.19254647878437986,0.04166666666666648,-0.11111111111111116,0.4444444444444444,-0.03871254650219119,-0.10500154331299139,-0.06488176130604631
2002,Wisconsin,0.5104145421857467,0.5,8.0,0.19742207526794184,0.014250000000000011,0.0,0.5,0.0064188539602485495,-0.020829084371493334,-0.03225630352859979
2004,Wisconsin,0.5332724020941303,0.5,8.0,0.17056075562727782,0.034250000000000023,0.0,0.5,0.018089556008368257,-0.06654480418826059,-0.05962307988610985
2006,Wisconsin,0.48321671510032876,0.375,8.0,0.1537763807618526,0.037500000000000026,-0.125,0.5,-0.052963234755104116,-0.09143343020065753,-0.017919002155389246
2008,Wisconsin,0.46790970662648684,0.375,8.0,0.16080673438643467,0.04200000000000003,-0.125,0.375,-0.042326414285300595,-0.060819413252973686,-0.01417908670669435
2010,Wisconsin,0.5539501751288103,0.625,8.0,0.15545543089368868,0.04275000000000003,0.0,0.375,-0.009933201377992695,0.01709964974237943,-0.028621563873335268
2012,Wisconsin,0.49244470514680316,0.625,8.0,0.15568989298931382,0.07425000000000005,0.25,0.625,0.06680001145181114,0.14011058970639367,0.09261652927087453
2014,Wisconsin,0.527987937927589,0.625,8.0,0.15883918609993122,0.07475000000000005,0.25,0.625,0.06306046325989711,0.06902412414482195,0.02541963931393243
1972,Wyoming,0.4830313262565021,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.46606265251300416,0.0
1974,Wyoming,0.45298700889445614,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.4059740177889123,0.0
1976,Wyoming,0.43555587747254193,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.37111175494508386,0.0
1978,Wyoming,0.5863097768536911,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.32738044629261775,0.0
1980,Wyoming,0.6856905462023937,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.12861890759521266,0.0
1982,Wyoming,0.7109375490497687,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.07812490190046262,0.0
1984,Wyoming,0.7509003699257433,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0018007398514865436,0.0
1986,Wyoming,0.6947185941284335,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.11056281174313298,0.0
1988,Wyoming,0.6767613808562589,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.14647723828748216,0.0
1990,Wyoming,0.5509348011768055,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.398130397646389,0.0
1992,Wyoming,0.5953058024046001,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.30938839519079986,0.0
1994,Wyoming,0.5631012467106682,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.3737975065786636,0.0
1996,Wyoming,0.575051554568528,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.34989689086294407,0.0
1998,Wyoming,0.5990207393834108,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.30195852123317835,0.0
2000,Wyoming,0.7005323824857027,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.09893523502859458,0.0
2002,Wyoming,0.6256257449344458,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.24874851013110844,0.0
2004,Wyoming,0.569191196746174,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.36161760650765196,0.0
2006,Wyoming,0.5027254120435204,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.4945491759129592,0.0
2008,Wyoming,0.5514407441954269,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.39711851160914624,0.0
2010,Wyoming,0.742048932248956,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.015902135502088077,0.0
2012,Wyoming,0.7430063608972213,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.013987278205557452,0.0
