,State,cycle,expectedCs,stdvCs,expectedCu,stdvCu,expStdv,stdvObs,stdvCsObs,ndist
72,AL,1990,0.082784729432096374,0.26655779463219459,0.014568240677022743,0.049996145522166566,0.18289941295946152,0.05434193963938682,0.3041870035202055,7
73,AZ,1990,0.25347697220898158,0.13204402267976537,0.03778571641865653,0.020594700156837131,0.14828552711779344,0.019532086509051617,0.12994614278292166,6
74,AR,1990,0.015516293086971967,0.18443525899584115,0.0019491899989962263,0.020580079743517953,0.11304654292540353,0.015162981743543493,0.14103955377330302,4
75,CA,1990,0.075810752854967189,0.10276330012289943,0.014226557250215058,0.019301653186355124,0.18730069208054403,0.012779454887535926,0.069053841949062444,52
76,CO,1990,0.24090253942519899,0.16251976239626556,0.039562638347077461,0.027823499048139383,0.1595364864872228,0.025759816318504523,0.16403617255156916,6
77,CT,1990,0.013147260325659164,0.19034952197436311,0.001599010110590299,0.031675584891431637,0.16719174434626713,0.020573864904107949,0.14240834886276316,6
78,FL,1990,0.3123109646087816,0.10174972694938096,0.053061281962399814,0.017901958600533157,0.16939474515458236,0.012346604620429517,0.057967049025659342,23
79,GA,1990,0.12983544910947969,0.18687923544003596,0.019203764578104767,0.028054157036953208,0.14742494576743156,0.018679119780806878,0.1291973752606555,11
80,IL,1990,0.14007599337366247,0.13917426454749818,0.0287023724077741,0.028674118057979252,0.20500370167420764,0.039864210804213845,0.19079961879206819,20
81,IN,1990,-0.075035968584650697,0.16748735660390043,-0.010662102314860209,0.024364355573143801,0.14505236536378169,0.024736327393930814,0.18570309333013521,10
82,IA,1990,0.036900587067938785,0.28165992586408756,0.0052420303651341624,0.027707762640628995,0.096002196166843259,0.032720963134039577,0.27247474778487374,5
83,KS,1990,-0.15636978578504829,0.18293840250826313,-0.019744394847319262,0.023541995670602948,0.12453046930058301,0.020638174000677974,0.18452005598377155,4
84,KY,1990,-0.12107457125777689,0.20116946960104298,-0.015800201742950624,0.025168297782463128,0.11991134689499823,0.014191119183613758,0.12237152915842532,6
85,LA,1990,0.050067246981799519,0.20630678995991195,0.011397294759776863,0.047573079037722919,0.22453351555034223,0.057393064883263546,0.25365333093013209,7
86,MD,1990,0.17207331603282497,0.12087459121764237,0.03830226499952432,0.027002737412524052,0.22188485252732443,0.013908902883849422,0.076345225200608657,8
87,MA,1990,-0.071926950464586734,0.15735095131632598,-0.0093320192305764316,0.018920093839750164,0.11706591025126813,0.013079286253785424,0.11473118323486539,10
88,MI,1990,-0.066182204434060671,0.11834662318895199,-0.013155531694901466,0.023316464690278472,0.19646955791932211,0.013397736736746805,0.058430237624832335,16
89,MN,1990,-0.11683744214207488,0.14977933623671175,-0.017263150947148299,0.022324962011109326,0.14708147015758141,0.011482651952255873,0.076081290425380088,8
90,MS,1990,-0.13715600249202237,0.28345383628249748,-0.027052206182125116,0.052190799655409334,0.1741160240322541,0.057327453969772901,0.39112128528643686,5
91,MO,1990,-0.21674410567662944,0.2310724658333777,-0.037596932622675057,0.040150021538874578,0.16946875187356039,0.037102442333357202,0.21472593112758484,9
92,NE,1990,-0.0165040904092916,0.32342907358474704,-0.0001219469512344368,0.037281047796090969,0.11057142116967116,0.026693042551350167,0.30159074736232339,3
93,NJ,1990,0.18531585139363749,0.20092149961486766,0.037488450314353813,0.040667760118045855,0.20033847408355365,0.043614213944868613,0.22923235654589755,13
94,NM,1990,0.27960963705071196,0.2333736492202563,0.044556155285318949,0.037608370645066523,0.1532160681508733,0.025045832126362702,0.082301071094521477,3
95,NY,1990,0.026302723408506808,0.11130109418001634,0.0061173234149788829,0.026364553101195214,0.2367882895447517,0.035143426054996534,0.15711227447831466,31
96,NC,1990,-0.023607385534480763,0.16826953339843295,-0.0031967418470389701,0.024732980990801238,0.14587276614368666,0.025855993824447417,0.16920047148479089,12
97,OH,1990,0.16498628211763602,0.17465598728682286,0.032480711051584683,0.034627827285765467,0.19567503841385742,0.035419165492308745,0.18160653157297085,19
98,OK,1990,0.073854815087978143,0.21113759551911962,0.012167312165752946,0.030520459845971629,0.13897551973033415,0.030115587897626812,0.29403384884813338,6
99,OR,1990,0.0084493676045865364,0.2245009414254423,0.00088134284507151344,0.037209511830330499,0.16717034637888881,0.045393770056837632,0.27672522594655047,5
100,PA,1990,0.05351396785578473,0.1389676148662452,0.0098434127777712044,0.025587005741382191,0.18371090599082285,0.025839414007156513,0.13724873329140072,21
101,SC,1990,0.19929855989849851,0.17341379678506019,0.029981698218522659,0.026562029884274002,0.14933843697611329,0.041079620683178608,0.27860724786346114,6
102,TN,1990,0.069729146535946127,0.2890399448133516,0.01362103126169115,0.054072203685295042,0.183456126447404,0.074556558475727022,0.38764566808453349,9
103,TX,1990,-0.30839266804121934,0.081057079288055486,-0.056531714242392221,0.015286277571552605,0.18310584658140902,0.021313811410414107,0.11745834430754659,30
104,UT,1990,-0.1511990171227526,0.29201697890761358,-0.018777087415024415,0.037713877797171301,0.12484486478000834,0.031569920502642991,0.24989691837852632,3
105,VA,1990,-0.037619041834228886,0.26176055844899382,-0.0075012842233836263,0.050879890343584068,0.19186759063072931,0.073799708757951721,0.3690791494442488,11
106,WA,1990,0.098804743909391202,0.16979877261379922,0.013835852018960702,0.024588912241443179,0.14529725711675226,0.01809126797215788,0.13064368900512929,9
107,WV,1990,-0.023340753522359942,0.33318558736944281,-0.0029892846365540768,0.023700830653286868,0.062634884859097156,0.020985901731129217,0.41485405096701916,3
108,WI,1990,0.0041377508688723065,0.24657181799606148,0.0010962445723039528,0.041560254735021895,0.16463617454295762,0.025516869500625164,0.15817501020708821,9
109,AL,2000,0.28703009968080978,0.1706506397959193,0.053934584611713549,0.033914985399403928,0.18384071632899296,0.047204779793772196,0.25305254303006558,7
110,AZ,2000,0.2021277841123342,0.16662758676121511,0.030150567142365553,0.025489435684244291,0.14723893933641702,0.036464721855119619,0.2475856909081437,8
111,AR,2000,-0.14330835456454219,0.17950168395553645,-0.021622280855389083,0.0273118529919411,0.15010679307465158,0.019218884350396072,0.14034800105390496,4
112,CA,2000,-0.33899636744187972,0.069802844527764335,-0.06464885035531702,0.013766345452275062,0.19051315025149268,0.010937599884568629,0.051645215036365641,53
113,CO,2000,0.037499132770738866,0.24876196307248524,0.0054856530012837154,0.039483792224366897,0.15729380446027363,0.031599984882487393,0.21501188307527805,7
114,CT,2000,0.087720232448313534,0.30994897169634211,0.012861761849956996,0.043571639732203883,0.13533547617470598,0.043329169096566235,0.33803457082490634,5
115,FL,2000,0.31185050381983376,0.094653621362245519,0.049313255825686755,0.015494549320210882,0.15783412977635908,0.020660594610512666,0.12137721737376041,25
116,GA,2000,0.25565373299065419,0.21581512590925009,0.049973400513506613,0.04279143977328155,0.19359116816329555,0.054280324987703826,0.27837326743967838,13
117,IL,2000,0.17381610502067615,0.18461374327672792,0.037429329712242589,0.039957276941717711,0.21497251309306931,0.027651461809724907,0.12331320630460611,19
