,State,cycle,AreaNumber,alpha,beta,alphaCen,betaCen,alphaCenR,betaCenR,mean,std,meanCen,stdCen
1117,MO,1980,4,34.15229108753406,19.34574144205752,25.37430517825219,17.442283700691927,25.37430517825219,17.442283700691927,0.63838405774349305,0.065084022846608261,0.59262790060164028,0.074227939520713188
1118,MO,1980,5,40.313910399332187,20.440762980318357,31.385628256352074,19.322808668530303,31.385628256352074,19.322808668530303,0.66355241756324079,0.060125874963398114,0.61894292468224954,0.067536665041214028
1119,MO,1980,6,34.96069470973098,47.555696452122,34.406151653246816,56.888819529542104,34.406151653246816,56.888819529542104,0.42368181906012847,0.054071101192774376,0.37686798306074848,0.050442387666127131
1120,MO,1980,7,12.908605943598547,18.232028825594405,14.39066323442818,24.677059524544031,14.39066323442818,24.677059524544031,0.41452610196529688,0.086896540205346831,0.36835172920651615,0.07620293209547295
1121,MO,1980,8,32.2356362973578,43.230303173597044,38.66658669748395,63.077948100669794,38.66658669748395,63.077948100669794,0.42715477370774108,0.05656883918351905,0.38003600659428832,0.047886846841096613
1122,MO,1980,9,39.722835582654305,27.268151762460302,46.865060814573312,39.017659197008442,46.865060814573312,39.017659197008442,0.5929579060839314,0.059580743706830308,0.54568673195554707,0.053417394747537608
1123,MO,1990,1,49.099711432303813,19.441006439909252,35.453256667410834,15.544607865973658,35.453256667410834,15.544607865973658,0.71635828973727766,0.054054344895278807,0.69519100440376747,0.063837108541834289
1124,MO,1990,2,13.434937731215935,21.975278670860469,14.580044468244008,26.292544875633006,14.580044468244008,26.292544875633006,0.37940851811422788,0.080416434518035568,0.35671937360210809,0.074028453264037869
1125,MO,1990,3,73.820115310052131,48.461161390680111,96.477942952741529,69.753864806873622,96.477942952741529,69.753864806873622,0.60369107439659309,0.044053025707122599,0.5803819633138837,0.038161425144960251
1126,MO,1990,4,89.87036530199515,40.799072047878582,70.386846685084052,35.273287204047143,70.386846685084052,35.273287204047143,0.6877688243300758,0.040384702251788744,0.66616276256985174,0.045662165417011451
1127,MO,1990,5,36.327508775025898,19.222155346121173,29.713397699941975,17.349963056441563,29.713397699941975,17.349963056441563,0.6539645081525608,0.063259010928087403,0.63134882894889177,0.069588172456486977
1128,MO,1990,6,14.375627795733514,8.6482879294757673,14.168553602820959,9.3703332787558349,14.168553602820959,9.3703332787558349,0.62437805833320492,0.09880465253497106,0.60192113901147448,0.098815921857441785
1129,MO,1990,7,12.377241778651946,25.910192037959984,14.223579582676216,32.931867818711268,14.223579582676216,32.931867818711268,0.32327164672190123,0.074621532332558943,0.3016317385689295,0.066139065529354141
1130,MO,1990,8,25.474897672300763,50.247308282323175,31.420644957900052,68.472097063633001,31.420644957900052,68.472097063633001,0.33642572018525768,0.05394222136020875,0.31454382292486238,0.046227506147768126
1131,MO,1990,9,20.290855835707291,24.125953866528924,25.230649548777855,33.084749003296245,25.230649548777855,33.084749003296245,0.45682830378260431,0.073915710462676143,0.43265844314255275,0.064329646251502226
1132,MO,2000,1,108.42692390848381,36.492900481463984,78.991763613430891,23.16092905462169,78.991763613430891,23.16092905462169,0.74818558720255202,0.035932531220508789,0.77327147772909288,0.041226720587733287
1133,MO,2000,2,41.312172547398575,81.071902826679889,72.091841290405824,122.97606860522905,72.091841290405824,122.97606860522905,0.33756166740749582,0.042571576577711205,0.36957304422329829,0.034471824595399839
1134,MO,2000,3,23.825263453676342,15.698884309921935,47.985879793883093,27.320924996301262,47.985879793883093,27.320924996301262,0.60280271180494371,0.076865913162795507,0.6372050962403556,0.055041286322159655
1135,MO,2000,4,17.622414948968608,10.016832676407345,27.769580224496536,13.684072903327994,27.769580224496536,13.684072903327994,0.63758663722775288,0.089823692073561195,0.66989464448085112,0.072172542421338026
1136,MO,2000,5,38.598820170928462,23.782686566528454,62.329131740713954,33.265181745418694,62.329131740713954,33.265181745418694,0.61875421402336594,0.061007092994765783,0.65201714900913754,0.048465494703405665
1137,MO,2000,6,46.201774470763617,84.611298336748575,79.461498245712406,126.45961297207508,79.461498245712406,126.45961297207508,0.35318927595828475,0.041630642922021871,0.38588320437758261,0.033841610660106679
1138,MO,2000,7,29.841970260866432,73.068516336192843,23.806358337235604,50.480570378712933,23.806358337235604,50.480570378712933,0.28997987715004336,0.044513277265797235,0.32046496939271979,0.053781934079186987
1139,MO,2000,8,43.813316971681708,114.42526762990312,26.596031548121363,59.984719174847029,26.596031548121363,59.984719174847029,0.27688137556333337,0.035459082266332362,0.30718180803514206,0.049295020978803193
1140,MO,2000,9,16.940720316155577,28.389695785046875,24.428255558957208,35.634304928896803,24.428255558957208,35.634304928896803,0.37371640883098356,0.071076085269239267,0.40671352270932815,0.062862120294431473
1141,MO,2010,1,62.009969962907554,16.234749530569594,60.174368556974997,10.569216066050272,60.174368556974997,10.569216066050272,0.79251316081562539,0.045552619141322123,0.85059823979275351,0.042087057267516603
1142,MO,2010,2,36.785300096312589,62.600933674280107,50.7004561277448,58.141337653111627,50.7004561277448,58.141337653111627,0.37012470138693349,0.048190811897331896,0.46581790290801156,0.047595834311975421
1143,MO,2010,3,26.756594892101866,60.774510902864847,51.822012909892003,79.426593026997779,51.822012909892003,79.426593026997779,0.3056809879081917,0.048962749594577713,0.39483857782695497,0.04250596257692231
1144,MO,2010,4,19.492721865725123,42.67883931236922,42.305120103471253,62.680331288630775,42.305120103471253,62.680331288630775,0.31353116274315512,0.058370036521932393,0.4029617393887191,0.047644180468929605
1145,MO,2010,5,43.845800376695074,30.806421762977642,66.423039774142936,31.40261106468461,66.423039774142936,31.40261106468461,0.58733416260082005,0.056601904639356312,0.67899410026495077,0.04696287391991847
1146,MO,2010,6,32.744593975223665,72.303957912985837,50.002802674699574,74.373664738402084,50.002802674699574,74.373664738402084,0.31170914197912775,0.044978855366181944,0.4020278410756048,0.043788546775885583
1147,MO,2010,7,32.62032429666732,72.938904523384778,44.693866614950196,67.291839292596649,44.693866614950196,67.291839292596649,0.30902389740148178,0.044764322112242225,0.39910331638082952,0.046071337471997764
1148,MO,2010,8,23.978204879224091,71.259680904621973,28.53858861431468,57.015945028172382,28.53858861431468,57.015945028172382,0.25177170494571388,0.044243297444276825,0.33357190319768387,0.050678817218917122
1149,MT,1970,1,24.291360227018096,18.142299360676802,12.505394065466408,11.64880334165084,12.505394065466408,11.64880334165084,0.57245499122734667,0.07506688280891953,0.51773171572165688,0.099630315066119399
1150,MT,1970,2,6.2107217818424818,5.3689246366826318,8.5858591725242217,9.1193567616285893,8.5858591725242217,9.1193567616285893,0.53634813684004823,0.14059995303724582,0.48493388640137203,0.11555570530208317
1151,MT,1980,1,88.691450229399209,53.242557308426704,66.40841830198147,43.77836801059405,66.40841830198147,43.77836801059405,0.6248780807923191,0.040496368624513265,0.60268949230986268,0.046407187246042134
1152,MT,1980,2,28.270660928828349,39.927043399372067,40.198003715650891,62.380685177718512,40.198003715650891,62.380685177718512,0.41453977384306401,0.05922239379513651,0.39187480508194772,0.047966161436396468
1153,MT,1990,1,54.670025322400392,57.644995716982137,117.64816572445558,117.64816572445558,117.64816572445558,117.64816572445558,0.48675613303077869,0.046954136534202766,0.5,0.032526813139548826
1154,MT,2000,1,48.273770744164281,88.31273799940243,117.64816572445558,117.64816572445558,117.64816572445558,117.64816572445558,0.35343000702064581,0.040754123486505554,0.5,0.032526813139548826
1155,MT,2010,1,54.833948479141846,73.081630658700703,70.388899434673348,70.388899434673348,70.388899434673348,70.388899434673348,0.42867294858628968,0.043586573709384333,0.5,0.041991935198224389
1156,NE,1970,1,7.6195405426409319,14.470614997006299,27.488473942490856,30.121258652551656,27.488473942490856,30.121258652551656,0.34492923913394102,0.098922636688761306,0.47714982702169878,0.065242582500949053
1157,NE,1970,2,21.36402175617226,24.474468076284353,15.524022381335106,10.136364610836877,15.524022381335106,10.136364610836877,0.46607167544697675,0.072889738708803303,0.60498005685069756,0.094677507413487239
1158,NE,1970,3,3.5628929096132294,9.0264828859449029,11.970797313133041,17.91341076030108,11.970797313133041,17.91341076030108,0.28300790821339311,0.12219592243717145,0.40057267984874612,0.088174030781706728
1159,NE,1980,1,20.489225646226139,45.757791592379668,31.225484106855792,37.517676641628917,31.225484106855792,37.517676641628917,0.30928525540144519,0.056362786863874928,0.45423404694908631,0.05962003800598642
1160,NE,1980,2,14.92131044660405,17.746723198097833,74.43028435291518,47.546934555501402,74.43028435291518,47.546934555501402,0.45675569606938965,0.085848102504845217,0.61019824045012228,0.043978968536297319
1161,NE,1980,3,4.2464507948950674,10.306791177486508,17.991017050620417,24.470858278978998,17.991017050620417,24.470858278978998,0.29178727344421074,0.11526688901306514,0.42369812710742905,0.074954732188513798
1162,NE,1990,1,20.227181127811161,40.72859516547021,69.078509305573206,66.071104273614722,69.078509305573206,66.071104273614722,0.33183370564408066,0.0598220964786252,0.51112620655106933,0.042840471933238429
1163,NE,1990,2,13.959054595715795,19.518484981232636,81.672073183844148,54.299923337503166,81.672073183844148,54.299923337503166,0.41696775725201612,0.083971012605118078,0.60065362922741083,0.041847645751569656
1164,NE,1990,3,14.570857551283154,51.467748913739428,37.281289351330251,62.734022087313726,37.281289351330251,62.734022087313726,0.22064150549573794,0.050646536796904028,0.37275581923474854,0.048110174586744485
1165,NE,2000,1,16.557863259043117,29.362193903253409,22.499582863751847,20.731225027302671,22.499582863751847,20.731225027302671,0.3605801970263714,0.070099466179967818,0.52045251896408684,0.075117984787403835
1166,NE,2000,2,26.23060415321272,38.051061302804612,42.108124699006623,31.53859137197793,42.108124699006623,31.53859137197793,0.40805732034370157,0.060828176993887879,0.57175834776421819,0.057272396588651284
1167,NE,2000,3,3.1527831357969029,9.5538643774886491,8.1573441376999725,13.489726638727909,8.1573441376999725,13.489726638727909,0.24812076769269642,0.11666483752988126,0.37683362437114309,0.10182884340636929
1168,NE,2010,1,37.091021172281565,81.992528227062778,62.821367172774586,75.972880268027382,62.821367172774586,75.972880268027382,0.31147057137084111,0.04225985526631109,0.45262226879805617,0.042098524143776628
1169,NE,2010,2,65.452238511814784,65.150678179436113,76.744271150959619,41.805001993635855,76.744271150959619,41.805001993635855,0.5011544931002252,0.043584903558113328,0.64736180252538567,0.043698320100153586
1170,NE,2010,3,26.35059877278157,78.130389543732846,50.108410456473933,81.28413153627362,50.108410456473933,81.28413153627362,0.25220472353262141,0.042284468079274079,0.38136419081716039,0.042213923894458681
1171,NV,1970,1,7.3380858919847105,3.3896095713092742,117.64816572445558,117.64816572445558,117.64816572445558,117.64816572445558,0.68403189828540489,0.13575425720077594,0.5,0.032526813139548826
1172,NV,1980,1,51.039546832583973,34.247487889541553,65.128472948602564,40.27198613179749,65.128472948602564,40.27198613179749,0.59844438253570886,0.052773023646820218,0.61791450926150338,0.047105619390254143
1173,NV,1980,2,18.750921138634016,30.886237382244463,38.781947322706017,59.362629039031305,38.781947322706017,59.362629039031305,0.37775976098122066,0.06813217136047181,0.39515120203652498,0.049098766770026891
1174,NV,1990,1,39.737296722394021,36.05335225106009,77.078912565992013,54.095496364574544,77.078912565992013,54.095496364574544,0.52430342345151471,0.056990463718082029,0.5876063265266287,0.042817917407295146
1175,NV,1990,2,19.092072263974185,32.424954013211533,71.414487074819306,94.432544470072173,71.414487074819306,94.432544470072173,0.37059732759515074,0.066644661984297637,0.4306045541459621,0.038334258031654689
1176,NV,2000,1,39.034181801641786,20.965645151833929,83.074695199138986,39.130463166529374,83.074695199138986,39.130463166529374,0.65057157301318824,0.061046723075441914,0.67979696037509929,0.042032758124405482
1177,NV,2000,2,7.3996061315663662,13.640738207180661,28.340320040368983,47.180974762624452,28.340320040368983,47.180974762624452,0.35168655096293067,0.10170942711605688,0.37526263439071306,0.055350971449778859
1178,NV,2000,3,34.226623883384505,38.897967162172449,67.311875780420067,67.447449745034632,67.311875780420067,67.447449745034632,0.46805901262492072,0.057956330245682697,0.49949697742962895,0.04291261188107421
1179,NV,2010,1,47.653412568862386,25.61235993578854,81.552088704778598,38.73510872722315,81.552088704778598,38.73510872722315,0.6504184824617435,0.055331993481202761,0.67797812606682373,0.042427070639437785
1180,NV,2010,2,23.004026593511426,41.364908209543998,50.921568606390117,81.620167030071869,50.921568606390117,81.620167030071869,0.3573777733606287,0.05927286729909792,0.38419271003104088,0.042090924481936298
1181,NV,2010,3,22.353543143623941,27.709573156087874,55.828921069358294,61.550714174997125,55.828921069358294,61.550714174997125,0.44650722519550023,0.069569128937294958,0.47562697697208095,0.045900235240069753
1182,NV,2010,4,54.70500425130912,51.159335844357599,56.240260700386919,46.654277614962446,56.240260700386919,46.654277614962446,0.51674628304369252,0.048340359752174211,0.54658159335943335,0.048840569082946088
