Year,ABBcode,YrStatAbbCD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,"Other, inc LDS"
2012,VA11,2012VA11,44.8460962,55.1539038,9.862658571,16.02401275,9.849810097,0.92512525
2012,VA2,2012VA2,44.00608831,55.99391169,10.16379498,17.01031491,16.96497384,1.13900729
2012,VA3,2012VA3,40.07432423,59.92567577,16.21601032,8.592907881,22.58073548,0.724835027
2012,VA4,2012VA4,50.71996975,49.28003025,21.58346189,5.440053185,20.04986153,0.991078395
2012,VA5,2012VA5,41.45978138,58.54021862,21.24285288,4.634766807,25.88383169,1.053183655
2012,VA6,2012VA6,43.84089375,56.15910625,26.73388517,2.85173909,29.05069255,1.46769225
2012,VA7,2012VA7,55.1661744,44.8338256,30.78712772,3.740483618,22.48656403,1.131410577
2012,VA8,2012VA8,46.18610413,53.81389587,22.95418694,5.623265245,8.730337648,1.525213876
2012,VA9,2012VA9,42.70712467,57.29287533,7.843124042,16.16449896,27.14251014,1.357372039
2012,VT0,2012VT0,40.74962787,59.25037213,25.97179377,1.220447836,3.616512263,0.700609358
2012,WA1,2012WA1,33.62269693,66.37730307,3.616512263,20.50257215,11.16597612,3.003316316
2012,WA10,2012WA10,32.36140536,67.63859464,11.7084715,10.72737002,13.79179345,3.078218737
2012,WA2,2012WA2,30.86503733,69.13496267,11.94782314,9.9111084,11.95432687,4.689319941
2012,WA3,2012WA3,30.18291981,69.81708019,13.71979286,7.450866127,13.32029648,5.937386823
2012,WA4,2012WA4,40.93574847,59.06425153,12.20150605,17.83543364,12.41963996,4.827442656
2012,WA5,2012WA5,35.56681881,64.43318119,12.49974887,12.05184043,12.47671236,4.22002451
2012,WA6,2012WA6,31.37134899,68.62865101,13.06297378,8.037117154,13.8451211,3.012534297
2012,WA7,2012WA7,37.62689327,62.37310673,10.59019319,14.41243465,10.96115684,3.314939201
2012,WA8,2012WA8,37.09689173,62.90310827,11.62584723,13.14537579,12.0349946,3.305991548
2012,WA9,2012WA9,35.4253601,64.5746399,12.42726816,11.22653183,11.94084374,4.197212025
2012,WI1,2012WI1,45.43139113,54.56860887,11.89591102,21.41011832,13.19610055,0.434450431
2012,WI2,2012WI2,47.85139718,52.14860282,9.516714436,20.86737569,8.12655287,0.53700454
2012,WI3,2012WI3,55.12742182,44.87257818,12.83039831,21.66377024,13.49009459,0.513902288
2012,WI4,2012WI4,46.376466,53.623534,12.27115175,21.01357447,12.27115175,0.436303397
2012,WI5,2012WI5,57.41392903,42.58607097,17.15165597,28.15860205,15.31728841,0.417444011
2012,WI6,2012WI6,55.12226371,44.87773629,17.14343287,25.04963283,14.61341623,0.380930251
2012,WI7,2012WI7,57.7719888,42.2280112,15.50823136,27.49363499,15.6273973,0.410555231
2012,WI8,2012WI8,63.86683564,36.13316436,17.40793636,35.19895898,16.75324615,0.462846558
2012,WV1,2012WV1,41.11569812,58.88430188,11.87062798,9.697381942,11.87062798,0.992709309
2012,WV2,2012WV2,33.03311087,66.96688913,12.50844665,3.906286159,12.76112888,1.119411399
2012,WV3,2012WV3,32.42569423,67.57430577,16.22847166,1.833167181,15.80888141,0.591585368
2012,WY0,2012WY0,39.57837289,60.42162711,10.5117578,10.86216747,10.5117578,11.14285005
