,abbr,totalTaxPC,SALT_DeductionsPC,Pop2000,WhitePop2000,STATEFP,Pop2010,WhitePop2010,MedianHHIncome2010,Gini2010,MedianHHIncome,Gini,state_initnum,p_evang,p_mormon,kerry_04,p_relig,State,Clinton,Trump,logitTrump,region,MHIdiff,Ginidiff,PercentWhite2000,PercentWhite2010,PercentWhiteDiff
1,ND,6.8645014662756596,10.535958523973251,642200.0,593181.0,38,672591.0,605449.0,46781.0,0.444,55579.0,0.4535,29,9.75,0.5772960186,35.5,10.327296257,North Dakota,30.2,69.8,0.837792085388,1,8798.0,0.009500000000000008,0.9236701962005606,0.9001741028351554,-0.023496093365405146
32,NE,11.088492654457637,8.1378526236198052,1711263.0,1533261.0,31,1826341.0,1572838.0,49342.0,0.432,52400.0,0.4383,30,14.6099996567,0.875873029232,32.7000007629,15.4858722687,Nebraska,36.5,63.5,0.55372764531,1,3058.0,0.006300000000000028,0.8959820904209347,0.8611962388184901,-0.03478585160244463
38,NH,10.121124655550885,10.813937583863568,1235786.0,1186851.0,33,1316470.0,1236050.0,63277.0,0.421,65986.0,0.434,31,2.43000006676,0.516178488731,50.2000007629,2.94617843628,New Hampshire,50.2,49.8,-0.00800004266708,0,2709.0,0.013000000000000012,0.9604017200389064,0.9389123945095597,-0.021489325529346792
41,NJ,17.850341055056031,14.020011081545123,8414350.0,6104705.0,34,8791894.0,6029248.0,69811.0,0.463,72062.0,0.4721,32,2.41000008583,0.236089497805,52.9000015259,2.64608955383,New Jersey,57.3,42.7,-0.294101703486,0,2251.0,0.009099999999999997,0.7255111803050741,0.6857735090982671,-0.039737671206807046
44,NM,7.0914744086855368,6.2411401166276095,1819046.0,1214253.0,35,2059179.0,1407876.0,43820.0,0.459,44968.0,0.4724,33,13.0500001907,2.32254004478,49.0999984741,15.3725404739,New Mexico,54.7,45.3,-0.188556676939,3,1148.0,0.013399999999999967,0.6675218768519323,0.6837074387413624,0.0161855618894301
35,NV,5.9890325684900612,9.1768006929586221,1998257.0,1501886.0,32,2700551.0,1786688.0,55726.0,0.437,52205.0,0.4493,34,5.32999992371,5.79574298859,47.9000015259,11.1257429123,Nevada,51.3,48.7,-0.0520117220882,3,-3521.0,0.012299999999999978,0.7515980176724015,0.661601280627546,-0.08999673704485556
47,NY,22.169341410076449,14.326385989655327,18976457.0,12893689.0,36,19378102.0,12740974.0,55603.0,0.498,58687.0,0.5048,35,2.94000005722,0.236975193024,58.4000015259,3.17697525024,New York,61.8,38.2,-0.481067848851,0,3084.0,0.006800000000000028,0.6794571294314845,0.6574933912516303,-0.021963738179854198
3,OH,10.444616820249621,7.7049176077179622,11353140.0,9645453.0,39,11536504.0,9539437.0,47358.0,0.45,48849.0,0.4598,36,9.93999958038,0.341550588608,48.7000007629,10.2815504074,Ohio,45.7,54.3,0.17242592904,1,1491.0,0.009799999999999975,0.8495846083110047,0.8268914915645156,-0.022693116746489106
6,OK,8.2010880894877332,7.8828619799278963,3450654.0,2628434.0,40,3751351.0,2706845.0,42979.0,0.459,46235.0,0.4624,37,41.4599990845,0.712372422218,34.4000015259,42.1723709106,Oklahoma,30.7,69.3,0.814182251603,2,3256.0,0.0033999999999999586,0.7617205318180263,0.7215653773800426,-0.04015515443798379
9,OR,12.616740604460007,8.4100507337995936,3421399.0,2961623.0,41,3831074.0,3204614.0,49260.0,0.446,50521.0,0.4581,38,11.3400001526,3.04144310951,51.4000015259,14.3814430237,Oregon,56.2,43.8,-0.249282939517,3,1261.0,0.0121,0.8656175441683358,0.836479274480211,-0.02913826968812483
12,PA,11.248388277357057,9.5170165275394485,12281054.0,10484203.0,42,12702379.0,10406288.0,50398.0,0.458,53115.0,0.4646,39,5.73000001907,0.252389788628,50.9000015259,5.98238992691,Pennsylvania,49.6,50.4,0.0160003413464,0,2717.0,0.006599999999999995,0.8536891866121589,0.8192392936787668,-0.03444989293339207
15,RI,12.434244122234418,8.8296051259691755,1048319.0,891191.0,44,1052567.0,856869.0,54902.0,0.456,56423.0,0.472,40,1.62000000477,0.218998402357,59.4000015259,1.83899843693,Rhode Island,58.3,41.7,-0.335100964552,0,1521.0,0.01599999999999996,0.8501143258874445,0.8140754935315282,-0.03603883235591632
18,SC,8.7652808969791121,6.9394016767063187,4012012.0,2695560.0,45,4625364.0,3060000.0,43939.0,0.461,45033.0,0.4657,41,29.3199996948,0.507029116154,40.9000015259,29.8270282745,South Carolina,42.5,57.5,0.302280871873,2,1094.0,0.004699999999999982,0.671872367281055,0.6615695543096717,-0.010302812971383357
21,SD,6.0980657090029871,8.8822210987529484,754844.0,669404.0,46,814180.0,699392.0,46369.0,0.44,50338.0,0.4404,42,13.8000001907,0.794166624546,38.4000015259,14.5941667557,South Dakota,34.0,66.0,0.66329421741,1,3969.0,0.00040000000000001146,0.8868110497003354,0.8590139772531873,-0.02779707244714813
24,TN,5.6115478430552654,8.0966052562470967,5689283.0,4563310.0,47,6346105.0,4921948.0,43314.0,0.469,44621.0,0.4751,43,36.8699989319,0.420902997255,42.5,37.2909011841,Tennessee,36.4,63.6,0.558044695703,2,1307.0,0.00610000000000005,0.8020887693581071,0.775585654507765,-0.02650311485034218
27,TX,7.8237672637323294,10.585340784623854,20851820.0,14799505.0,48,25145561.0,17701552.0,49646.0,0.472,52576.0,0.4769,44,24.2700004578,0.742367327213,38.2000007629,25.0123672485,Texas,45.3,54.7,0.188556676939,2,2930.0,0.0049000000000000155,0.7097464393995344,0.7039632959471455,-0.00578314345238895
30,UT,8.29147295510076,7.8702229185955419,2233169.0,1992975.0,49,2763885.0,2379560.0,56330.0,0.413,59846.0,0.4247,45,1.88999998569,66.1995773315,26.0,68.0895767212,Utah,37.6,62.4,0.50656122498,3,3516.0,0.011700000000000044,0.8924425334580589,0.8609475430417691,-0.03149499041628978
36,VA,11.288198825917595,10.942942122309791,7078515.0,5120110.0,51,8001024.0,5486852.0,61406.0,0.457,64792.0,0.4643,46,17.0499992371,0.750279784203,45.5,17.8002796173,Virginia,52.8,47.2,-0.112117298121,2,3386.0,0.007299999999999973,0.7233310941631119,0.6857687216036348,-0.03756237255947714
33,VT,12.407625688898886,7.4859793308595783,608827.0,589208.0,50,625741.0,596292.0,51841.0,0.432,54447.0,0.4412,47,2.42000007629,0.492038011551,58.9000015259,2.91203808784,Vermont,65.2,34.8,-0.627842082152,0,2606.0,0.009199999999999986,0.9677757392494091,0.952937397421617,-0.01483834182779209
39,WA,7.4025696931942067,11.723828293421896,5894121.0,4821823.0,53,6724540.0,5196362.0,57244.0,0.441,60294.0,0.4496,48,9.81000041962,3.01267409325,52.7999992371,12.8226747513,Washington,58.8,41.2,-0.355703598549,3,3050.0,0.008599999999999997,0.8180732971040127,0.7727460911824452,-0.04532720592156747
45,WI,11.653244897959183,8.2274965236829605,5363675.0,4769857.0,55,5686986.0,4902067.0,51598.0,0.429,52738.0,0.4381,49,12.6400003433,0.312718510628,49.7000007629,12.9527187347,Wisconsin,49.6,50.4,0.0160003413464,1,1140.0,0.009099999999999997,0.8892889669862548,0.8619797903494048,-0.027309176636850063
42,WV,9.4628177087261491,5.9806084818684697,1808344.0,1718777.0,54,1852994.0,1739988.0,38380.0,0.454,41576.0,0.4614,50,11.0699996948,0.547839403152,43.2000007629,11.6178388596,West Virginia,27.8,72.2,0.954404025202,2,3196.0,0.007399999999999962,0.9504701539087695,0.9390143734950033,-0.01145578041376627
48,WY,6.3069177173191768,11.850044865582714,493782.0,454670.0,56,563626.0,511279.0,53802.0,0.425,58252.0,0.4185,51,11.3500003815,9.53439331055,29.1000003815,20.884393692,Wyoming,24.3,75.7,1.1363018101,3,4450.0,-0.006500000000000006,0.9207909563329566,0.9071245826132932,-0.013666373719663394
