,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total,el_votes_per_pop_vote,min_counties_for_state_win,rep_margin,rep_margin_as_frac_of_min_county_votes,el_vote_per_county_frac,el_vote_per_county_frac_per_diff,el_vote_per_county_frac_per_frac,lost_votes,dem_lost,rep_lost,ind_lost,win_margin,allStateMajInNatMaj,dem_votesInTop5,rep_votesInTop5,ind_votesInTop5
39,RI,44,4,249902.0,179421.0,6155.0,450121.0,8.8864994079369773e-06,0.2,-70481.0,-0.29146300110000084,20.0,-0.00028376441877952922,-68.619344220428189,185576.0,0,179421.0,6155.0,0.15658234119270151,True,90321.0,141597.0,3158.0
40,SC,45,9,849469.0,1143611.0,8625.0,2084444.0,4.3176981487629317e-06,0.17391304347826086,294142.0,0.2631747531467305,51.75,0.00017593543254618518,196.63740302302969,858094.0,849469.0,0,8625.0,0.14111292987482513,False,125595.0,73338.0,1174.0
41,SD,46,3,117442.0,227701.0,4059.0,370047.0,8.1070782900550475e-06,0.09090909090909091,110259.0,0.57465471412935853,33.0,0.0002992952956221261,57.425788371017319,121501.0,117442.0,0,4059.0,0.29795944839439314,False,0.0,0.0,0.0
42,TN,47,11,867110.0,1517402.0,12784.0,2484691.0,4.4271098498767053e-06,0.09473684210526316,650292.0,0.50105328042531883,116.11111111111111,0.00017855226746001966,231.73406032298649,879894.0,867110.0,0,12784.0,0.2617194653178202,False,199313.0,355113.0,2821.0
43,TX,48,38,3867816.0,4681590.0,71306.0,8903237.0,4.2681105759624283e-06,0.031496062992125984,813774.0,0.17406498576719809,1206.5,0.0014825983626903785,6931.3193269875901,3939122.0,3867816.0,0,71306.0,0.09140203725903287,True,2314985.0,2738800.0,50199.0
44,UT,49,6,274188.0,452086.0,6551.0,984957.0,6.0916364876842342e-06,0.06896551724137931,177898.0,0.33172039702473854,87.0,0.00048904428380307815,262.26906991646894,280739.0,274188.0,0,6551.0,0.18061499131434164,False,117901.0,154831.0,3002.0
45,VT,50,3,178179.0,95053.0,1386.0,291413.0,1.0294667705284253e-05,0.2857142857142857,-83126.0,-0.51500226133610894,10.5,-0.00012631426990351995,-20.388259990857254,96439.0,0,95053.0,1386.0,0.28525151588981962,False,0.0,0.0,0.0
46,VA,51,13,1808923.0,1695741.0,25530.0,3844787.0,3.3812016114286693e-06,0.09302325581395349,-113182.0,-0.057747686153657773,139.75,-0.0012347369723100846,-2420.0103815094271,1721271.0,0,1695741.0,25530.0,0.02943778159882459,False,157837.0,354485.0,4551.0
47,WA,53,12,1610524.0,1129120.0,22505.0,2957942.0,4.0568746784081639e-06,0.07692307692307693,-481404.0,-0.3120102196432587,156.0,-0.00032405214746865417,-499.98362290300872,1151625.0,0,1129120.0,22505.0,0.1627496414737003,True,644696.0,1162685.0,13711.0
48,WV,54,5,187457.0,486198.0,3708.0,708226.0,7.0598933108922861e-06,0.2,298741.0,0.80109891288608115,25.0,8.3684529408417313e-05,31.207132599810528,191165.0,187457.0,0,3708.0,0.42181591751785447,False,0.0,0.0,0.0
49,WI,55,10,1380823.0,1403694.0,15466.0,2937326.0,3.4044569788984946e-06,0.125,22871.0,0.014991635989889774,80.0,0.0034978794106073192,5336.3088627519564,1396289.0,1380823.0,0,15466.0,0.007786333556438747,False,339882.0,585692.0,3852.0
50,WY,56,3,55949.0,174248.0,2123.0,248742.0,1.2060689389005476e-05,0.2608695652173913,118299.0,0.84501096452066815,11.5,9.7211303561314975e-05,13.609290864673415,58072.0,55949.0,0,2123.0,0.47558916467665291,False,0.0,0.0,0.0
